marker_ID,Basal,EC,Fat,Fib,Luminal,Lym,MP,weight
2207,0.895074651733345,0.895074651733345,0.895074651733345,0.895074651733345,0.895074651733345,0.895074651733345,0.0,0.895074651733345
4069,0.8200652981348844,0.8200652981348844,0.8200652981348844,0.8200652981348844,0.8200652981348844,0.8200652981348844,0.0,0.8200652981348844
7805,0.8597257640364617,0.8597257640364617,0.8597257640364617,0.8597257640364617,0.8597257640364617,0.0,0.0,0.8597257640364617
3108,,,,,,,0.0,0.0
241,0.7428699813759462,0.7428699813759462,0.7428699813759462,0.7428699813759462,0.7428699813759462,0.7428699813759462,0.0,0.7428699813759462
199,0.6779539196068811,0.6779539196068811,0.6779539196068811,0.6779539196068811,0.6779539196068811,0.6779539196068811,0.0,0.6779539196068811
5199,0.8002001187563481,0.8002001187563481,0.8002001187563481,0.8002001187563481,0.8002001187563481,0.8002001187563481,0.0,0.8002001187563481
2014,,,,0.0,,,0.0,0.0
5996,0.880980164152612,0.880980164152612,0.880980164152612,0.880980164152612,0.880980164152612,0.880980164152612,0.0,0.880980164152612
8673,0.0,0.595,0.595,0.595,0.0,0.595,0.0,0.595
9555,0.0,0.0,,,0.0,,0.0,0.0
3059,0.7864910425730678,0.7864910425730678,0.7864910425730678,0.7864910425730678,0.7864910425730678,0.7864910425730678,0.0,0.7864910425730678
3109,0.5608799982664641,0.5608799982664641,0.5608799982664641,0.5608799982664641,0.5608799982664641,0.5608799982664641,0.0,0.5608799982664641
427,,,,,,,0.0,0.0
219972,0.8598555393280165,0.8598555393280165,0.8598555393280165,0.8598555393280165,0.8598555393280165,0.8598555393280165,0.0,0.8598555393280165
57175,,,,,0.0,,0.0,0.0
55364,0.03125866923370954,0.03125866923370954,0.03125866923370954,0.03125866923370954,0.03125866923370954,0.03125866923370954,0.0,0.03125866923370954
942,0.5917647677315803,0.5917647677315803,0.5917647677315803,0.5917647677315803,0.5917647677315803,0.5917647677315803,0.0,0.5917647677315803
51316,0.7542532333477671,0.7542532333477671,0.7542532333477671,0.0,0.0,0.7542532333477671,0.0,0.7542532333477671
7045,,,,,,,0.0,0.0
29108,0.07280219780219781,0.07280219780219781,0.07280219780219781,0.07280219780219781,0.07280219780219781,0.07280219780219781,0.0,0.07280219780219781
9476,0.905387487955806,0.905387487955806,0.905387487955806,0.905387487955806,0.905387487955806,0.905387487955806,0.0,0.905387487955806
257106,0.719701082352731,0.719701082352731,0.719701082352731,0.719701082352731,0.719701082352731,0.719701082352731,0.0,0.719701082352731
397,0.94,0.94,0.94,0.94,0.94,0.0,0.0,0.94
915,0.8230553199390802,0.8230553199390802,0.8230553199390802,0.8230553199390802,0.8230553199390802,0.0,0.8230553199390802,0.8230553199390802
9595,0.9589742090697976,0.9589742090697976,0.9589742090697976,0.9589742090697976,0.9589742090697976,0.0,0.0,0.9589742090697976
5880,0.2885714285714286,0.2885714285714286,0.2885714285714286,0.2885714285714286,0.2885714285714286,0.0,0.0,0.2885714285714286
9535,0.8350633117130937,0.8350633117130937,0.8350633117130937,0.8350633117130937,0.8350633117130937,0.0,0.0,0.8350633117130937
5790,0.806619696796057,0.806619696796057,0.806619696796057,0.806619696796057,0.806619696796057,0.0,0.806619696796057,0.806619696796057
3932,0.7660710097107436,0.7660710097107436,0.7660710097107436,0.7660710097107436,0.7660710097107436,0.0,0.7660710097107436,0.7660710097107436
916,0.8403474568986611,0.8403474568986611,0.8403474568986611,0.8403474568986611,0.8403474568986611,0.0,0.8403474568986611,0.8403474568986611
6404,0.8700614179231054,0.8700614179231054,0.8700614179231054,0.8700614179231054,0.8700614179231054,0.0,0.0,0.8700614179231054
27040,0.7938482259599433,0.7938482259599433,0.7938482259599433,0.7938482259599433,0.7938482259599433,0.0,0.7938482259599433,0.7938482259599433
5788,0.9416881172564583,0.9416881172564583,0.9416881172564583,0.9416881172564583,0.9416881172564583,0.0,0.0,0.9416881172564583
3148,,,,,0.0,0.0,0.0,0.0
951,0.9021819420607722,0.9021819420607722,0.9021819420607722,0.9021819420607722,0.9021819420607722,0.0,0.0,0.9021819420607722
1265,0.0,,,,,0.0,0.0,0.0
3856,0.0,0.6143809138531653,0.6143809138531653,0.6143809138531653,0.0,0.6143809138531653,0.0,0.6143809138531653
140576,0.0,0.0,0.7083333333333333,0.0,0.0,0.7083333333333333,0.7083333333333333,0.7083333333333333
8581,0.7891648678979188,0.7891648678979188,0.7891648678979188,0.7891648678979188,0.0,0.7891648678979188,0.7891648678979188,0.7891648678979188
26471,0.7710404384812783,0.7710404384812783,0.7710404384812783,0.0,0.0,0.7710404384812783,0.7710404384812783,0.7710404384812783
2752,0.7249970237586538,0.0,0.7249970237586538,0.0,0.0,0.7249970237586538,0.0,0.7249970237586538
57111,0.5620347055258742,0.5620347055258742,0.5620347055258742,0.5620347055258742,0.0,0.5620347055258742,0.5620347055258742,0.5620347055258742
6692,0.29382926904833334,0.29382926904833334,0.29382926904833334,0.29382926904833334,0.0,0.29382926904833334,0.29382926904833334,0.29382926904833334
4070,0.29266189749056304,0.29266189749056304,0.29266189749056304,0.29266189749056304,0.0,0.29266189749056304,0.29266189749056304,0.29266189749056304
6768,0.11194470101135495,0.11194470101135495,0.11194470101135495,0.11194470101135495,0.0,0.11194470101135495,0.11194470101135495,0.11194470101135495
57402,0.8300055012965534,0.8300055012965534,0.8300055012965534,0.8300055012965534,0.0,0.8300055012965534,0.8300055012965534,0.8300055012965534
5264,,,,,0.0,,,0.0
3664,0.0,0.043416149423818766,0.043416149423818766,0.043416149423818766,0.0,0.043416149423818766,0.043416149423818766,0.043416149423818766
64063,0.09978976882568441,0.09978976882568441,0.09978976882568441,0.09978976882568441,0.0,0.09978976882568441,0.09978976882568441,0.09978976882568441
1454,,,,,0.0,,,0.0
822,0.0,0.824061783848601,0.824061783848601,0.824061783848601,0.0,0.824061783848601,0.0,0.824061783848601
3949,,,,,0.0,,,0.0
780,0.0,,,,0.0,,,0.0
55620,0.4281738483660984,0.4281738483660984,0.4281738483660984,0.4281738483660984,0.0,0.4281738483660984,0.4281738483660984,0.4281738483660984
6242,,,,,0.0,,,0.0
5603,,,,,0.0,,,0.0
54472,,,,,0.0,,,0.0
3831,,,,,0.0,,,0.0
22800,,,,,0.0,,,0.0
2820,0.6601681173336618,0.6601681173336618,0.6601681173336618,0.6601681173336618,0.0,0.6601681173336618,0.6601681173336618,0.6601681173336618
6049,0.35272822846530294,0.35272822846530294,0.35272822846530294,0.35272822846530294,0.0,0.35272822846530294,0.35272822846530294,0.35272822846530294
10477,,,,,0.0,,,0.0
525,0.8338134185240893,0.8338134185240893,0.8338134185240893,0.8338134185240893,0.0,0.8338134185240893,0.8338134185240893,0.8338134185240893
147700,0.10942679241917531,0.10942679241917531,0.10942679241917531,0.10942679241917531,0.0,0.10942679241917531,0.10942679241917531,0.10942679241917531
51650,0.0,,,,0.0,,0.0,0.0
282991,0.14978481774219013,0.14978481774219013,0.14978481774219013,0.14978481774219013,0.0,0.14978481774219013,0.14978481774219013,0.14978481774219013
2077,,,,,0.0,,,0.0
7130,0.9149963091757342,0.9149963091757342,0.9149963091757342,0.0,0.9149963091757342,0.9149963091757342,0.9149963091757342,0.9149963091757342
1281,0.6525388179447409,0.6525388179447409,0.6525388179447409,0.0,0.6525388179447409,0.6525388179447409,0.6525388179447409,0.6525388179447409
1277,,,,0.0,,,,0.0
7123,0.6228982990648735,0.6228982990648735,0.6228982990648735,0.0,0.6228982990648735,0.6228982990648735,0.6228982990648735,0.6228982990648735
3956,0.0,,,0.0,,,0.0,0.0
5176,0.7419971136334578,0.7419971136334578,0.7419971136334578,0.0,0.7419971136334578,0.7419971136334578,0.7419971136334578,0.7419971136334578
11167,0.0,,,0.0,,,,0.0
6678,0.0,0.0,0.0,0.0,,,,0.0
1292,0.14089492297460177,0.14089492297460177,0.14089492297460177,0.0,0.14089492297460177,0.14089492297460177,0.14089492297460177,0.14089492297460177
687,0.47,0.0,0.47,0.0,0.47,0.47,0.47,0.47
1290,,,,0.0,,,,0.0
1293,0.7825930826507164,0.7825930826507164,0.7825930826507164,0.0,0.7825930826507164,0.7825930826507164,0.7825930826507164,0.7825930826507164
5118,0.8916061148881612,0.8916061148881612,0.8916061148881612,0.0,0.8916061148881612,0.8916061148881612,0.8916061148881612,0.8916061148881612
1513,0.9668705339977453,0.9668705339977453,0.9668705339977453,0.0,0.9668705339977453,0.9668705339977453,0.9668705339977453,0.9668705339977453
4921,0.8676396071280623,0.8676396071280623,0.8676396071280623,0.0,0.8676396071280623,0.8676396071280623,0.8676396071280623,0.8676396071280623
2200,0.3399919444800981,0.3399919444800981,0.3399919444800981,0.0,0.3399919444800981,0.3399919444800981,0.3399919444800981,0.3399919444800981
5621,0.0,0.0,,0.0,,,,0.0
5327,,,,0.0,,,,0.0
4237,0.8883868596768738,0.8883868596768738,0.8883868596768738,0.0,0.8883868596768738,0.8883868596768738,0.8883868596768738,0.8883868596768738
3912,,,,0.0,,,,0.0
54587,0.1670523252623975,0.1670523252623975,0.1670523252623975,0.0,0.1670523252623975,0.1670523252623975,0.1670523252623975,0.1670523252623975
5376,0.6086609214368442,0.0,0.6086609214368442,0.0,0.6086609214368442,0.6086609214368442,0.6086609214368442,0.6086609214368442
22839,,,,0.0,0.0,,,0.0
3671,0.7702602832803085,0.7702602832803085,0.7702602832803085,0.0,0.7702602832803085,0.7702602832803085,0.7702602832803085,0.7702602832803085
4314,0.858817882144458,0.858817882144458,0.858817882144458,0.0,0.858817882144458,0.858817882144458,0.858817882144458,0.858817882144458
55970,0.0,0.0,,0.0,0.0,,,0.0
7070,0.6518542790402827,0.6518542790402827,0.6518542790402827,0.0,0.6518542790402827,0.6518542790402827,0.6518542790402827,0.6518542790402827
2217,,0.0,,0.0,,,0.0,0.0
55328,,,0.0,,,,,0.0
4619,0.9086603112603874,0.9086603112603874,0.0,0.9086603112603874,0.9086603112603874,0.9086603112603874,0.9086603112603874,0.9086603112603874
6447,0.31913104711215856,0.31913104711215856,0.0,0.31913104711215856,0.31913104711215856,0.31913104711215856,0.31913104711215856,0.31913104711215856
91860,0.6937500000000001,0.6937500000000001,0.0,0.6937500000000001,0.6937500000000001,0.6937500000000001,0.6937500000000001,0.6937500000000001
3902,0.6922983852763069,0.6922983852763069,0.0,0.6922983852763069,0.6922983852763069,0.6922983852763069,0.6922983852763069,0.6922983852763069
390191,0.8806590181293295,0.8806590181293295,0.0,0.8806590181293295,0.8806590181293295,0.8806590181293295,0.8806590181293295,0.8806590181293295
3773,0.933583352262663,0.933583352262663,0.0,0.933583352262663,0.933583352262663,0.933583352262663,0.933583352262663,0.933583352262663
1586,0.5122238856323179,0.5122238856323179,0.0,0.5122238856323179,0.5122238856323179,0.5122238856323179,0.5122238856323179,0.5122238856323179
80852,0.9647415367797799,0.9647415367797799,0.0,0.9647415367797799,0.9647415367797799,0.9647415367797799,0.9647415367797799,0.9647415367797799
54739,0.5338394922442808,0.5338394922442808,0.0,0.5338394922442808,0.5338394922442808,0.5338394922442808,0.5338394922442808,0.5338394922442808
728,0.5484525506732515,0.5484525506732515,0.0,0.5484525506732515,0.5484525506732515,0.5484525506732515,0.5484525506732515,0.5484525506732515
5655,0.5007664868436384,0.5007664868436384,0.0,0.5007664868436384,0.5007664868436384,0.5007664868436384,0.5007664868436384,0.5007664868436384
131408,,,0.0,,,,,0.0
83987,0.14037869906982708,0.14037869906982708,0.0,0.14037869906982708,0.14037869906982708,0.14037869906982708,0.14037869906982708,0.14037869906982708
118932,0.8787382451497376,0.8787382451497376,0.0,0.8787382451497376,0.8787382451497376,0.8787382451497376,0.8787382451497376,0.8787382451497376
7318,0.40247194556355304,0.40247194556355304,0.0,0.40247194556355304,0.40247194556355304,0.40247194556355304,0.40247194556355304,0.40247194556355304
7732,0.38105088595991043,0.38105088595991043,0.0,0.38105088595991043,0.38105088595991043,0.38105088595991043,0.38105088595991043,0.38105088595991043
169841,0.039001925266158366,0.039001925266158366,0.0,0.039001925266158366,0.039001925266158366,0.039001925266158366,0.039001925266158366,0.039001925266158366
64333,0.73448475,0.73448475,0.0,0.73448475,0.73448475,0.73448475,0.73448475,0.73448475
7135,0.9028277202318754,0.9028277202318754,0.0,0.9028277202318754,0.9028277202318754,0.9028277202318754,0.9028277202318754,0.9028277202318754
3606,0.698,0.698,0.0,0.698,0.698,0.698,0.698,0.698
84678,,,0.0,,,,,0.0
11185,0.7620453602778802,0.7620453602778802,0.0,0.7620453602778802,0.7620453602778802,0.7620453602778802,0.7620453602778802,0.7620453602778802
1653,,,0.0,,,,,0.0
255189,0.898090961514634,0.898090961514634,0.0,0.898090961514634,0.898090961514634,0.898090961514634,0.898090961514634,0.898090961514634
255043,,,0.0,,,,,0.0
28960,,,0.0,,,,,0.0
3990,0.8634523846762752,0.8634523846762752,0.0,0.8634523846762752,0.8634523846762752,0.8634523846762752,0.8634523846762752,0.8634523846762752
201164,0.11027491609804893,0.11027491609804893,0.0,0.11027491609804893,0.11027491609804893,0.11027491609804893,0.11027491609804893,0.11027491609804893
84985,0.6819841875964059,0.6819841875964059,0.0,0.6819841875964059,0.6819841875964059,0.6819841875964059,0.6819841875964059,0.6819841875964059
140732,0.6652119568745704,0.6652119568745704,0.0,0.6652119568745704,0.6652119568745704,0.6652119568745704,0.6652119568745704,0.6652119568745704
5777,0.4619868475646887,0.4619868475646887,0.0,0.4619868475646887,0.4619868475646887,0.4619868475646887,0.4619868475646887,0.4619868475646887
387695,0.8806756545217173,0.8806756545217173,0.0,0.8806756545217173,0.8806756545217173,0.8806756545217173,0.8806756545217173,0.8806756545217173
5179,0.25084217326167596,0.25084217326167596,0.0,0.25084217326167596,0.25084217326167596,0.25084217326167596,0.25084217326167596,0.25084217326167596
166336,0.4066666666666667,0.4066666666666667,0.0,0.4066666666666667,0.4066666666666667,0.4066666666666667,0.4066666666666667,0.4066666666666667
671,0.8574324556581788,0.8574324556581788,0.0,0.8574324556581788,0.8574324556581788,0.8574324556581788,0.8574324556581788,0.8574324556581788
5054,0.02009240446940341,0.02009240446940341,0.0,0.02009240446940341,0.02009240446940341,0.02009240446940341,0.02009240446940341,0.02009240446940341
2,0.9135720165548153,0.9135720165548153,0.0,0.9135720165548153,0.9135720165548153,0.9135720165548153,0.9135720165548153,0.9135720165548153
55228,0.05995275977127279,0.05995275977127279,0.0,0.05995275977127279,0.05995275977127279,0.05995275977127279,0.05995275977127279,0.05995275977127279
4327,0.523602676140317,0.523602676140317,0.0,0.523602676140317,0.523602676140317,0.523602676140317,0.523602676140317,0.523602676140317
496,0.8661753077690014,0.8661753077690014,0.0,0.8661753077690014,0.8661753077690014,0.8661753077690014,0.8661753077690014,0.8661753077690014
132160,,,0.0,,,,,0.0
57152,0.6585733265531799,0.6585733265531799,0.0,0.6585733265531799,0.6585733265531799,0.6585733265531799,0.6585733265531799,0.6585733265531799
1031,0.14493611444297969,0.14493611444297969,0.0,0.14493611444297969,0.14493611444297969,0.14493611444297969,0.14493611444297969,0.14493611444297969
56169,0.964300666772373,0.964300666772373,0.0,0.964300666772373,0.964300666772373,0.964300666772373,0.964300666772373,0.964300666772373
10661,0.687994427826553,0.687994427826553,0.0,0.687994427826553,0.687994427826553,0.687994427826553,0.687994427826553,0.687994427826553
79574,0.8996366494180137,0.8996366494180137,0.0,0.8996366494180137,0.8996366494180137,0.8996366494180137,0.8996366494180137,0.8996366494180137
2067,,,0.0,,,,,0.0
2882,0.31894736842105265,0.31894736842105265,0.0,0.31894736842105265,0.31894736842105265,0.31894736842105265,0.31894736842105265,0.31894736842105265
84251,0.40244941136387374,0.40244941136387374,0.0,0.40244941136387374,0.40244941136387374,0.40244941136387374,0.40244941136387374,0.40244941136387374
155465,0.9604029682437007,0.9604029682437007,0.0,0.9604029682437007,0.9604029682437007,0.9604029682437007,0.9604029682437007,0.9604029682437007
660,0.767916310959547,0.767916310959547,0.0,0.767916310959547,0.767916310959547,0.767916310959547,0.767916310959547,0.767916310959547
27033,0.771893519063582,0.771893519063582,0.0,0.771893519063582,0.771893519063582,0.771893519063582,0.771893519063582,0.771893519063582
1203,,,0.0,,,,,0.0
1437,0.6446272847665491,0.6446272847665491,0.0,0.6446272847665491,0.6446272847665491,0.6446272847665491,0.6446272847665491,0.6446272847665491
6677,0.7867907099292631,0.7867907099292631,0.0,0.7867907099292631,0.7867907099292631,0.7867907099292631,0.7867907099292631,0.7867907099292631
57016,0.654894875841362,0.654894875841362,0.0,0.654894875841362,0.654894875841362,0.654894875841362,0.654894875841362,0.654894875841362
4938,0.6941120964959745,0.6941120964959745,0.0,0.6941120964959745,0.6941120964959745,0.6941120964959745,0.6941120964959745,0.6941120964959745
25780,0.5378686143615031,0.5378686143615031,0.0,0.5378686143615031,0.5378686143615031,0.5378686143615031,0.5378686143615031,0.5378686143615031
4071,0.0,0.0,0.78,0.78,0.0,0.78,0.78,0.78
948,0.9369840935631797,0.0,0.9369840935631797,0.9369840935631797,0.9369840935631797,0.9369840935631797,0.0,0.9369840935631797
358,0.557120275326885,0.0,0.557120275326885,0.557120275326885,0.557120275326885,0.557120275326885,0.557120275326885,0.557120275326885
7122,0.8970095005763045,0.0,0.8970095005763045,0.8970095005763045,0.8970095005763045,0.8970095005763045,0.8970095005763045,0.8970095005763045
2022,0.742288624065208,0.0,0.742288624065208,0.742288624065208,0.742288624065208,0.742288624065208,0.742288624065208,0.742288624065208
9590,0.6576617356201644,0.0,0.6576617356201644,0.6576617356201644,0.6576617356201644,0.6576617356201644,0.6576617356201644,0.6576617356201644
641700,0.6027776436466401,0.0,0.6027776436466401,0.6027776436466401,0.6027776436466401,0.6027776436466401,0.6027776436466401,0.6027776436466401
64129,0.0,0.0,0.1632138375250183,0.1632138375250183,0.0,0.1632138375250183,0.1632138375250183,0.1632138375250183
116844,0.400029528172835,0.0,0.400029528172835,0.400029528172835,0.400029528172835,0.400029528172835,0.400029528172835,0.400029528172835
5552,0.6956465413453106,0.0,0.6956465413453106,0.6956465413453106,0.6956465413453106,0.0,0.0,0.6956465413453106
22918,0.6015441923324496,0.0,0.6015441923324496,0.6015441923324496,0.6015441923324496,0.6015441923324496,0.6015441923324496,0.6015441923324496
439996,0.9748033309048305,0.0,0.9748033309048305,0.9748033309048305,0.9748033309048305,0.9748033309048305,0.9748033309048305,0.9748033309048305
389,0.0,0.0,,0.0,0.0,,,0.0
3569,0.1701842557021957,0.0,0.1701842557021957,0.0,0.1701842557021957,0.1701842557021957,0.1701842557021957,0.1701842557021957
64108,0.7893749455409507,0.0,0.7893749455409507,0.7893749455409507,0.7893749455409507,0.7893749455409507,0.7893749455409507,0.7893749455409507
684,0.47955696369916034,0.0,0.47955696369916034,0.0,0.0,0.47955696369916034,0.0,0.47955696369916034
7378,,0.0,,,,,,0.0
10544,,0.0,,,,,,0.0
340061,0.90125,0.0,0.90125,0.90125,0.90125,0.90125,0.90125,0.90125
25937,0.0,0.0,0.566392560112367,0.566392560112367,0.0,0.566392560112367,0.566392560112367,0.566392560112367
2697,0.0,0.0,0.41,0.0,0.41,0.41,0.41,0.41
