marker_ID,EC,Epi,Fib,IC,weight
4069,0.8200652981348844,0.8200652981348844,0.8200652981348844,0.0,0.8200652981348844
2207,0.895074651733345,0.895074651733345,0.895074651733345,0.0,0.895074651733345
199,0.6779539196068811,0.6779539196068811,0.6779539196068811,0.0,0.6779539196068811
3553,0.5816740237503185,0.5816740237503185,0.5816740237503185,0.0,0.5816740237503185
7805,0.8597257640364617,0.8597257640364617,0.8597257640364617,0.0,0.8597257640364617
5996,0.880980164152612,0.880980164152612,0.880980164152612,0.0,0.880980164152612
128346,0.9527609333333333,0.9527609333333333,0.9527609333333333,0.0,0.9527609333333333
3109,0.5608799982664641,0.5608799982664641,0.5608799982664641,0.0,0.5608799982664641
951,0.9021819420607722,0.9021819420607722,0.9021819420607722,0.0,0.9021819420607722
11010,0.30374081576387496,0.30374081576387496,0.30374081576387496,0.0,0.30374081576387496
9555,,,,0.0,0.0
427,,,,0.0,0.0
1277,,,0.0,,0.0
1281,0.6525388179447409,0.6525388179447409,0.0,0.6525388179447409,0.6525388179447409
219348,0.25101371346469753,0.25101371346469753,0.0,0.25101371346469753,0.25101371346469753
1292,0.14089492297460177,0.14089492297460177,0.0,0.14089492297460177,0.14089492297460177
11167,,,0.0,,0.0
5176,0.7419971136334578,0.7419971136334578,0.0,0.7419971136334578,0.7419971136334578
1293,0.7825930826507164,0.7825930826507164,0.0,0.7825930826507164,0.7825930826507164
5270,,,0.0,,0.0
2200,0.3399919444800981,0.3399919444800981,0.0,0.3399919444800981,0.3399919444800981
26471,0.7710404384812783,0.7710404384812783,0.0,0.7710404384812783,0.7710404384812783
7130,0.9149963091757342,0.9149963091757342,0.0,0.9149963091757342,0.9149963091757342
4239,0.4159903157253002,0.4159903157253002,0.0,0.4159903157253002,0.4159903157253002
7070,0.6518542790402827,0.6518542790402827,0.0,0.6518542790402827,0.6518542790402827
5118,0.8916061148881612,0.8916061148881612,0.0,0.8916061148881612,0.8916061148881612
718,0.5835689820236495,0.5835689820236495,0.0,0.5835689820236495,0.5835689820236495
9590,0.6576617356201644,0.6576617356201644,0.0,0.6576617356201644,0.6576617356201644
1513,0.9668705339977453,0.9668705339977453,0.0,0.9668705339977453,0.9668705339977453
5327,,,0.0,,0.0
112464,0.027142857142857142,0.027142857142857142,0.0,0.027142857142857142,0.027142857142857142
57124,0.059984435369546854,0.059984435369546854,0.0,0.059984435369546854,0.059984435369546854
1290,,,0.0,,0.0
3075,0.7173035734485255,0.7173035734485255,0.0,0.7173035734485255,0.7173035734485255
6320,0.52,0.52,0.0,0.52,0.52
2995,0.5969758988045732,0.5969758988045732,0.0,0.5969758988045732,0.5969758988045732
7123,0.6228982990648735,0.6228982990648735,0.0,0.6228982990648735,0.6228982990648735
23564,0.035378180641,0.035378180641,0.0,0.035378180641,0.035378180641
3671,0.7702602832803085,0.7702602832803085,0.0,0.7702602832803085,0.7702602832803085
56944,0.43709047804031886,0.43709047804031886,0.0,0.43709047804031886,0.43709047804031886
4016,0.333857788544925,0.333857788544925,0.0,0.333857788544925,0.333857788544925
3959,,,0.0,,0.0
10512,0.044657694873994826,0.044657694873994826,0.0,0.044657694873994826,0.044657694873994826
558,0.02,0.02,0.0,0.02,0.02
54587,0.1670523252623975,0.1670523252623975,0.0,0.1670523252623975,0.1670523252623975
9586,0.18630016122253157,0.18630016122253157,0.0,0.18630016122253157,0.18630016122253157
10457,0.9178044117763801,0.9178044117763801,0.0,0.9178044117763801,0.9178044117763801
5066,,,0.0,,0.0
1514,,,0.0,,0.0
3872,0.7155623912165989,0.0,0.7155623912165989,0.7155623912165989,0.7155623912165989
3860,0.9312880986479802,0.0,0.9312880986479802,0.9312880986479802,0.9312880986479802
8581,0.7891648678979188,0.0,0.7891648678979188,0.7891648678979188,0.7891648678979188
5349,0.6161755028680032,0.0,0.6161755028680032,0.6161755028680032,0.6161755028680032
4070,0.29266189749056304,0.0,0.29266189749056304,0.29266189749056304,0.29266189749056304
2810,0.7221118247875102,0.0,0.7221118247875102,0.7221118247875102,0.7221118247875102
3856,0.6143809138531653,0.0,0.6143809138531653,0.6143809138531653,0.6143809138531653
10653,0.0887254695,0.0,0.0887254695,0.0887254695,0.0887254695
5268,0.9380031619724645,0.0,0.9380031619724645,0.9380031619724645,0.9380031619724645
6364,0.8944862066136059,0.0,0.8944862066136059,0.8944862066136059,0.8944862066136059
3914,0.6380300959605266,0.0,0.6380300959605266,0.6380300959605266,0.6380300959605266
