marker_ID,EC,Epi,Fib,IC,weight
55843,0.8323948557751156,0.8323948557751156,0.8323948557751156,0.0,0.8323948557751156
313,0.73,0.73,0.73,0.0,0.73
91526,0.7619751420839901,0.7619751420839901,0.7619751420839901,0.0,0.7619751420839901
5788,0.9416881172564583,0.9416881172564583,0.9416881172564583,0.0,0.9416881172564583
1794,0.07166666666666667,0.07166666666666667,0.07166666666666667,0.0,0.07166666666666667
5552,0.6956465413453106,0.6956465413453106,0.6956465413453106,0.0,0.6956465413453106
3635,0.8504789370793492,0.8504789370793492,0.8504789370793492,0.0,0.8504789370793492
800,0.9,0.9,0.0,0.9,0.9
2099,0.915,0.915,0.0,0.915,0.915
2259,0.11,0.11,0.0,0.11,0.11
23022,0.8766666666666667,0.8766666666666667,0.0,0.8766666666666667,0.8766666666666667
85004,0.024615384615384615,0.024615384615384615,0.0,0.024615384615384615,0.024615384615384615
57088,0.06763888888888889,0.06763888888888889,0.0,0.06763888888888889,0.06763888888888889
3773,0.933583352262663,0.0,0.933583352262663,0.933583352262663,0.933583352262663
1950,0.225,0.0,0.225,0.225,0.225
5523,0.08583333333333333,0.0,0.08583333333333333,0.08583333333333333,0.08583333333333333
57619,0.42,0.0,0.42,0.42,0.42
54502,0.684375,0.0,0.684375,0.0,0.684375
6819,0.8947593923626295,0.0,0.8947593923626295,0.8947593923626295,0.8947593923626295
83696,0.22625,0.0,0.22625,0.22625,0.22625
32,0.9133333333333333,0.0,0.9133333333333333,0.9133333333333333,0.9133333333333333
7010,0.0,0.7322987056962115,0.7322987056962115,0.7322987056962115,0.7322987056962115
1012,0.0,0.13158249737684735,0.13158249737684735,0.13158249737684735,0.13158249737684735
8609,0.0,0.268,0.268,0.268,0.268
2022,0.0,0.742288624065208,0.742288624065208,0.742288624065208,0.742288624065208
23266,0.0,0.27,0.27,0.27,0.27
10395,0.0,0.7766666666666666,0.7766666666666666,0.7766666666666666,0.7766666666666666
54739,0.0,0.5338394922442808,0.5338394922442808,0.5338394922442808,0.5338394922442808
6672,0.0,0.7318054695536431,0.7318054695536431,0.7318054695536431,0.7318054695536431
90627,0.0,0.685,0.685,0.685,0.685
25937,0.0,0.566392560112367,0.566392560112367,0.566392560112367,0.566392560112367
54453,0.0,0.9125,0.9125,0.9125,0.9125
