marker_ID,neuron,Oligo,Astro,OPC,Endo,Microglia
PLXDC2,0.0,0.0,0.0,0.0,0.0,2.6917335433543705
ARHGAP24,0.0,0.0,1.6614269342094357,0.0,0.0,2.042134996066295
LRMDA,0.0,0.0,0.0,1.3516672259831612,1.2185686961486115,1.920792793985532
DOCK8,0.0,0.0,0.0,0.0,0.0,1.6905549926182648
AC120193,0.0,0.0,0.0,0.0,0.0,2.022050189811236
CD74,0.0,0.0,0.0,0.0,0.0,1.6953090184346187
APBB1IP,0.0,0.0,0.0,0.0,0.0,1.6165592798135398
SFMBT2,0.0,0.0,0.0,0.0,0.0,1.7522826721183193
LPAR6,0.0,0.0,0.0,0.0,0.0,1.4862869380346617
ST6GAL1,0.0,0.0,0.0,0.0,1.5418215197481393,1.5581643659392523
P2RY12,0.0,0.0,0.0,0.0,0.0,1.3787718880952013
ITPR2,0.0,0.0,1.8007744253852578,1.5030287847750152,0.0,1.8635809073070329
ADAM28,0.0,0.0,0.0,0.0,0.0,1.191962985289964
SRGAP2,0.0,0.0,0.0,0.0,0.0,1.5380791509495995
MEF2A,1.0000833363101886,0.0,0.0,0.0,1.531518946266424,1.844079539120036
FYB1,0.0,0.0,0.0,0.0,0.0,1.0039179864628245
SORL1,0.9466891250550546,0.0,0.0,0.0,0.0,1.783590155089171
ARHGAP15,0.0,0.0,0.0,0.0,0.0,1.012640707218028
INPP5D,0.0,0.0,0.0,0.0,0.0,0.7110764026844443
LDLRAD4,1.057563196249012,0.0,0.0,0.6410545260484048,0.0,1.8118298907004315
MCF2L2,0.8105486506691347,0.0,0.0,0.0,0.0,1.546548371292301
SYNDIG1,0.0,0.0,0.0,0.0,0.0,1.2001181797410552
RUNX1,0.0,0.0,0.0,0.0,0.0,1.000398864334395
ARHGAP22,0.0,0.0,0.0,0.0,0.0,0.9800053585680877
CYFIP1,0.0,0.0,0.0,0.0,0.0,0.992674898577617
BMP2K,0.0,0.0,0.0,0.0,0.0,0.8226723418919253
SLC9A9,0.0,0.0,0.0,0.0,0.0,1.1305147703716851
ATP8B4,0.0,0.0,0.0,0.0,0.0,0.3037893642765781
AC044781,0.0,0.0,0.0,0.0,0.0,0.9418514481998956
HS3ST4,0.0,0.0,0.0,0.0,0.0,1.343210410487539
ANKRD44,0.0,0.0,0.0,0.0,0.0,0.9149892540335463
MAML3,0.0,0.0,0.0,0.0,0.0,0.8722947963352561
EPB41L2,0.9439947957200888,0.0,0.0,0.0,0.0,1.594540043611575
IPCEF1,0.0,0.0,0.0,0.0,0.0,0.9001890427439945
DIAPH2,0.7815077855559907,0.0,0.0,0.0,0.0,1.4757248709936555
KCNQ3,1.3722479992996295,0.0,0.0,0.0,0.0,1.7815044914820355
MTHFD1L,0.0,0.0,0.0,0.0,0.0,0.7735626854212531
ABR,0.793371173185353,0.0,0.0,0.0,0.0,1.344521237551036
PTPRJ,0.0,0.0,0.0,0.0,0.0,0.8757099640667543
MBNL1,0.907134551840346,0.0,0.0,0.0,1.3676522268688245,1.4439952930133275
SNX29,0.0,0.0,0.0,0.0,0.0,0.2631661840034892
