stem_pluri,stem_adult,progenitor,cycling,secretory,immune,terminal,stromal,gsm,cohort,n_markers,resid_mae,status
0.0,0.19514302081975682,0.0,0.0,0.0,0.8048569791802432,0.0,0.0,GSM1235534,GSE51057,905,0.1056993000116658,OK
0.0,0.18131430333444565,0.0,0.0,0.0,0.8186856966655544,0.0,0.0,GSM1235535,GSE51057,860,0.10662060380932431,OK
0.0,0.1740018606832428,0.0,0.0,0.0,0.8259981393167571,0.0,0.0,GSM1235536,GSE51057,938,0.1050367207043845,OK
0.0,0.17162445146395106,0.0,0.0,0.0,0.8283755485360489,0.0,0.0,GSM1235537,GSE51057,881,0.10424718136035878,OK
0.0,0.14799237705323276,0.0,0.0,0.0,0.8520076229467672,0.0,0.0,GSM1235538,GSE51057,796,0.11799134050864356,OK
0.0,0.18077760965601186,0.0,0.0,0.0,0.8192223903439881,0.0,0.0,GSM1235539,GSE51057,867,0.1065007632596776,OK
0.0,0.19622796690810473,0.0,0.0,0.0,0.8037720330918953,0.0,0.0,GSM1235540,GSE51057,828,0.11118817792302264,OK
0.0,0.19106258195997627,0.0,0.0,0.0,0.8089374180400237,0.0,0.0,GSM1235541,GSE51057,784,0.12110728799508451,OK
0.0,0.18641621626182048,0.0,0.0,0.0,0.8135837837381794,0.0,0.0,GSM1235542,GSE51057,888,0.1029699216272122,OK
0.0,0.16718447011725512,0.0,0.0,0.0,0.8328155298827449,0.0,0.0,GSM1235543,GSE51057,932,0.10679420938412218,OK
0.0,0.20396714490791573,0.0,0.0,0.0,0.7960328550920843,0.0,0.0,GSM1235544,GSE51057,834,0.11263780523770932,OK
0.0,0.15650179370055806,0.0,0.0,0.0,0.8434982062994418,0.0,0.0,GSM1235545,GSE51057,808,0.11295584964702429,OK
0.0,0.18494430836403203,0.0,0.0,0.0,0.8150556916359679,0.0,0.0,GSM1235546,GSE51057,828,0.10675853134060556,OK
0.0,0.18140950773243314,0.0,0.0,0.0,0.8185904922675669,0.0,0.0,GSM1235547,GSE51057,921,0.10094240931349725,OK
0.005651826310574856,0.16903122897452277,0.0,0.0,0.0,0.8253169447149022,0.0,0.0,GSM1235548,GSE51057,797,0.11534835804641787,OK
0.0,0.18336042565400584,0.0,0.0,0.0,0.8166395743459942,0.0,0.0,GSM1235549,GSE51057,913,0.10153468673399141,OK
0.0,0.10820457783429796,0.0,0.0,0.0,0.8917954221657021,0.0,0.0,GSM1235550,GSE51057,714,0.12186551176099232,OK
0.0,0.17157572432088825,0.0,0.0,0.0,0.8284242756791118,0.0,0.0,GSM1235551,GSE51057,934,0.0997281104578442,OK
0.0,0.16509543631603596,0.0,0.0,0.0,0.834904563683964,0.0,0.0,GSM1235552,GSE51057,908,0.10369751290005524,OK
0.0,0.17194614514800066,0.0,0.0,0.0,0.8280538548519994,0.0,0.0,GSM1235553,GSE51057,884,0.1042112426398342,OK
0.0,0.18072367410641238,0.0,0.0,0.0,0.8192763258935876,0.0,0.0,GSM1235554,GSE51057,920,0.10667471134860904,OK
0.0,0.1870479194479553,0.0,0.0,0.0,0.8129520805520447,0.0,0.0,GSM1235555,GSE51057,882,0.10732753515794266,OK
0.0,0.16428876618552984,0.0,0.0,0.0,0.8357112338144702,0.0,0.0,GSM1235556,GSE51057,846,0.10933217814224297,OK
0.0,0.15863457072085324,0.0,0.0,0.0,0.8413654292791467,0.0,0.0,GSM1235557,GSE51057,934,0.10150150298182321,OK
0.0,0.13275596480688945,0.0,0.0,0.0,0.8672440351931107,0.0,0.0,GSM1235558,GSE51057,896,0.10502853633552707,OK
0.0,0.17840035648953295,0.0,0.0,0.0,0.8215996435104671,0.0,0.0,GSM1235559,GSE51057,884,0.10739771602856651,OK
0.0,0.19755159925045396,0.0,0.0,0.0,0.8024484007495462,0.0,0.0,GSM1235560,GSE51057,880,0.10198049118586758,OK
0.0,0.18044045954681853,0.0,0.0,0.0,0.8195595404531814,0.0,0.0,GSM1235561,GSE51057,914,0.10096489801753876,OK
0.0,0.17015955093085344,0.0,0.0,0.0,0.8298404490691466,0.0,0.0,GSM1235562,GSE51057,865,0.10396753943382044,OK
0.0,0.16868066128435866,0.0,0.0,0.0,0.8313193387156413,0.0,0.0,GSM1235563,GSE51057,904,0.10342915141517967,OK
