marker_ID,CM,EC,FB,MP,SMC,weight
972,0.24037954358207297,0.0,0.24037954358207297,0.0,0.24037954358207297,0.24037954358207297
8743,0.16703951957365112,0.0,0.0,0.16703951957365112,0.16703951957365112,0.16703951957365112
5552,0.6956465413453106,0.0,0.6956465413453106,0.0,0.6956465413453106,0.6956465413453106
22918,0.6015441923324496,0.0,0.6015441923324496,0.0,0.6015441923324496,0.6015441923324496
684,0.47955696369916034,0.0,0.47955696369916034,0.0,0.47955696369916034,0.47955696369916034
7140,0.6557024899029193,0.0,0.0,0.6557024899029193,0.6557024899029193,0.6557024899029193
306,0.5346490183330583,0.0,0.5346490183330583,0.5346490183330583,0.5346490183330583,0.5346490183330583
64129,0.1632138375250183,0.0,0.1632138375250183,0.1632138375250183,0.0,0.1632138375250183
92162,0.6266734822516336,0.0,0.6266734822516336,0.6266734822516336,0.6266734822516336,0.6266734822516336
11170,0.9052146955131395,0.0,0.9052146955131395,0.9052146955131395,0.9052146955131395,0.9052146955131395
10791,0.1823809523809524,0.0,0.0,0.1823809523809524,0.1823809523809524,0.1823809523809524
161198,0.7816798560661681,0.0,0.7816798560661681,0.7816798560661681,0.7816798560661681,0.7816798560661681
168537,0.7504331019515231,0.0,0.7504331019515231,0.0,0.7504331019515231,0.7504331019515231
7122,0.8970095005763045,0.0,0.8970095005763045,0.8970095005763045,0.8970095005763045,0.8970095005763045
3122,0.20331295829546508,0.0,0.20331295829546508,0.0,0.20331295829546508,0.20331295829546508
3113,0.1968861997488558,0.0,0.1968861997488558,0.0,0.1968861997488558,0.1968861997488558
11185,0.7620453602778802,0.0,0.0,0.7620453602778802,0.7620453602778802,0.7620453602778802
7035,0.8362337608776216,0.0,0.0,0.8362337608776216,0.0,0.8362337608776216
9689,0.07350372669411705,0.07350372669411705,0.0,0.0,0.07350372669411705,0.07350372669411705
3956,0.16486333558187188,0.16486333558187188,0.0,0.16486333558187188,0.0,0.16486333558187188
152503,0.0,0.49606495686951596,0.0,0.49606495686951596,0.49606495686951596,0.49606495686951596
4256,0.7755827599189722,0.0,0.0,0.7755827599189722,0.7755827599189722,0.7755827599189722
