marker_ID,EC,Epi_basal,Epi_stratified,Epi_suprabasal,Epi_upper,Fib,Gland,IC
CXCR4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943649291992
CD69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996
RGS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996
CD52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996
LAPTM5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996
ARHGDIB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996
CORO1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996
CLU,1.3862943649291992,0.0,0.0,0.0,0.0,1.3862943649291992,3.1132683753967285,0.0
DEFB1,0.0,0.0,0.6931471824645996,0.0,0.0,0.0,1.9459102153778076,0.0
WFDC2,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123085021973,0.0
KRT19,0.0,1.9459102153778076,0.0,1.0986123085021973,2.3025851249694824,0.0,2.7725887298583984,0.0
MMP7,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
SCPEP1,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943649291992,0.0
TSC22D1,0.6931471824645996,0.0,0.0,0.0,0.0,0.0,1.0986123085021973,0.0
SAA1,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
KRT7,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,1.0986123085021973,0.0
KRT8,0.0,0.6931471824645996,0.0,0.6931471824645996,0.0,0.0,1.0986123085021973,0.0
GLUL,0.0,0.6931471824645996,0.0,0.6931471824645996,0.0,0.6931471824645996,1.3862943649291992,0.0
CEBPB,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,1.0986123085021973,0.0
RBP1,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
KRT23,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
FOLR1,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
TFCP2L1,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
LITAF,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
PLPP2,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
MDK,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
PDLIM4,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
NFIB,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
RARRES3,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
EPCAM,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
FOSB,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
CHPT1,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
SYNE2,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
CTNNB1,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
XIST,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
PIM3,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
TTC3,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
KRTCAP3,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
SH3YL1,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
DHRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
EPB41L4A-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
IGBP1,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0
