marker_ID,Basal,Fib,Gland,Macro,NeuIm,NeuMa,Peri,Plasma,Tcell,weight
6352,0.8442393684521723,0.8442393684521723,0.8442393684521723,0.8442393684521723,0.8442393684521723,0.8442393684521723,0.8442393684521723,0.8442393684521723,0.0,0.8442393684521723
969,0.7106283288009225,0.7106283288009225,0.7106283288009225,0.0,0.7106283288009225,0.7106283288009225,0.7106283288009225,0.7106283288009225,0.0,0.7106283288009225
915,0.8230553199390802,0.8230553199390802,0.8230553199390802,0.8230553199390802,0.8230553199390802,0.8230553199390802,0.8230553199390802,0.8230553199390802,0.0,0.8230553199390802
5788,0.9416881172564583,0.9416881172564583,0.9416881172564583,0.0,0.9416881172564583,0.9416881172564583,0.9416881172564583,0.9416881172564583,0.0,0.9416881172564583
3575,0.5673514494468047,0.5673514494468047,0.5673514494468047,0.5673514494468047,0.5673514494468047,0.5673514494468047,0.5673514494468047,0.5673514494468047,0.0,0.5673514494468047
397,0.94,0.94,0.94,0.0,0.94,0.94,0.0,0.94,0.0,0.94
916,0.8403474568986611,0.8403474568986611,0.8403474568986611,0.8403474568986611,0.8403474568986611,0.8403474568986611,0.8403474568986611,0.8403474568986611,0.0,0.8403474568986611
9535,0.8350633117130937,0.8350633117130937,0.8350633117130937,0.0,0.8350633117130937,0.8350633117130937,0.0,0.0,0.0,0.8350633117130937
51237,0.7383599612225291,0.7383599612225291,0.7383599612225291,0.7383599612225291,0.7383599612225291,0.7383599612225291,0.7383599612225291,0.0,0.7383599612225291,0.7383599612225291
1535,,,0.0,0.0,,,,0.0,0.0,0.0
23643,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.0,0.84,0.84
3385,0.6379999999999999,0.6379999999999999,0.6379999999999999,0.6379999999999999,0.6379999999999999,0.6379999999999999,0.6379999999999999,0.0,0.6379999999999999,0.6379999999999999
9595,0.9589742090697976,0.9589742090697976,0.9589742090697976,0.9589742090697976,0.9589742090697976,0.9589742090697976,0.9589742090697976,0.0,0.9589742090697976,0.9589742090697976
3561,0.6111481469387491,0.6111481469387491,0.6111481469387491,0.6111481469387491,0.6111481469387491,0.6111481469387491,0.6111481469387491,0.0,0.6111481469387491,0.6111481469387491
2014,,,,0.0,,,,0.0,,0.0
2995,0.5969758988045732,0.5969758988045732,0.5969758988045732,0.5969758988045732,0.5969758988045732,0.5969758988045732,0.5969758988045732,0.0,0.5969758988045732,0.5969758988045732
7122,0.8970095005763045,0.8970095005763045,0.8970095005763045,0.8970095005763045,0.8970095005763045,0.8970095005763045,0.0,0.8970095005763045,0.8970095005763045,0.8970095005763045
2012,0.52,0.52,0.52,0.52,0.52,0.52,0.0,0.52,0.52,0.52
161198,0.7816798560661681,0.7816798560661681,0.7816798560661681,0.7816798560661681,0.7816798560661681,0.7816798560661681,0.0,0.7816798560661681,0.7816798560661681,0.7816798560661681
641700,0.6027776436466401,0.6027776436466401,0.6027776436466401,0.6027776436466401,0.6027776436466401,0.6027776436466401,0.0,0.6027776436466401,0.6027776436466401,0.6027776436466401
8436,0.7475,0.7475,0.7475,0.7475,0.7475,0.7475,0.0,0.7475,0.7475,0.7475
116441,0.6015182077135065,0.6015182077135065,0.6015182077135065,0.6015182077135065,0.6015182077135065,0.6015182077135065,0.0,0.6015182077135065,0.6015182077135065,0.6015182077135065
168537,0.7504331019515231,0.7504331019515231,0.7504331019515231,0.7504331019515231,0.7504331019515231,0.7504331019515231,0.0,0.7504331019515231,0.7504331019515231,0.7504331019515231
2022,0.742288624065208,0.742288624065208,0.742288624065208,0.742288624065208,0.742288624065208,0.742288624065208,0.0,0.742288624065208,0.742288624065208,0.742288624065208
22918,0.6015441923324496,0.6015441923324496,0.6015441923324496,0.6015441923324496,0.6015441923324496,0.6015441923324496,0.0,0.6015441923324496,0.6015441923324496,0.6015441923324496
10791,0.1823809523809524,0.1823809523809524,0.1823809523809524,0.1823809523809524,0.1823809523809524,0.1823809523809524,0.0,0.1823809523809524,0.1823809523809524,0.1823809523809524
5327,,,,,,,0.0,,,0.0
8743,0.16703951957365112,0.16703951957365112,0.16703951957365112,0.16703951957365112,0.16703951957365112,0.16703951957365112,0.0,0.16703951957365112,0.16703951957365112,0.16703951957365112
92162,0.6266734822516336,0.6266734822516336,0.6266734822516336,0.6266734822516336,0.6266734822516336,0.6266734822516336,0.0,0.6266734822516336,0.6266734822516336,0.6266734822516336
4005,0.7821591210416399,0.7821591210416399,0.7821591210416399,0.7821591210416399,0.7821591210416399,0.7821591210416399,0.0,0.7821591210416399,0.7821591210416399,0.7821591210416399
79762,0.05709151567561407,0.05709151567561407,0.05709151567561407,0.05709151567561407,0.05709151567561407,0.05709151567561407,0.0,0.05709151567561407,0.05709151567561407,0.05709151567561407
55679,0.9529290067816291,0.9529290067816291,0.9529290067816291,0.9529290067816291,0.9529290067816291,0.9529290067816291,0.0,0.9529290067816291,0.9529290067816291,0.9529290067816291
64129,0.1632138375250183,0.1632138375250183,0.1632138375250183,0.1632138375250183,0.1632138375250183,0.1632138375250183,0.0,0.1632138375250183,0.1632138375250183,0.1632138375250183
54538,0.6989951903401838,0.6989951903401838,0.6989951903401838,0.6989951903401838,0.6989951903401838,0.6989951903401838,0.0,0.6989951903401838,0.6989951903401838,0.6989951903401838
25937,0.566392560112367,0.566392560112367,0.566392560112367,0.566392560112367,0.566392560112367,0.566392560112367,0.0,0.566392560112367,0.566392560112367,0.566392560112367
1346,0.9,0.9,0.9,0.9,0.9,0.9,0.0,0.9,0.9,0.9
23345,0.8314374630126548,0.8314374630126548,0.8314374630126548,0.8314374630126548,0.8314374630126548,0.8314374630126548,0.0,0.8314374630126548,0.8314374630126548,0.8314374630126548
6672,0.7318054695536431,0.7318054695536431,0.7318054695536431,0.7318054695536431,0.7318054695536431,0.7318054695536431,0.0,0.7318054695536431,0.7318054695536431,0.7318054695536431
5376,0.6086609214368442,0.6086609214368442,0.6086609214368442,0.6086609214368442,0.6086609214368442,0.6086609214368442,0.0,0.6086609214368442,0.6086609214368442,0.6086609214368442
837,0.9325,0.9325,0.9325,0.9325,0.9325,0.9325,0.0,0.9325,0.9325,0.9325
112464,0.027142857142857142,0.027142857142857142,0.027142857142857142,0.027142857142857142,0.027142857142857142,0.027142857142857142,0.0,0.027142857142857142,0.027142857142857142,0.027142857142857142
4245,,,,,,,0.0,,,0.0
1514,,,,,,,0.0,,,0.0
7345,0.12107090086646233,0.12107090086646233,0.12107090086646233,0.12107090086646233,0.0,0.0,0.12107090086646233,0.12107090086646233,0.12107090086646233,0.12107090086646233
5270,,,,,0.0,0.0,,,,0.0
25797,,,,,,0.0,,,,0.0
79925,0.007651687307299031,0.007651687307299031,0.007651687307299031,0.007651687307299031,0.007651687307299031,0.0,0.007651687307299031,0.007651687307299031,0.007651687307299031,0.007651687307299031
109,0.5066666666666667,0.5066666666666667,0.5066666666666667,0.5066666666666667,0.5066666666666667,0.0,0.5066666666666667,0.5066666666666667,0.5066666666666667,0.5066666666666667
51650,0.0,,,,0.0,0.0,,,,0.0
51286,0.1077941499886299,0.1077941499886299,0.1077941499886299,0.1077941499886299,0.1077941499886299,0.0,0.1077941499886299,0.1077941499886299,0.1077941499886299,0.1077941499886299
7991,0.2588118267186796,0.2588118267186796,0.2588118267186796,0.2588118267186796,0.0,0.0,0.2588118267186796,0.2588118267186796,0.2588118267186796,0.2588118267186796
5621,0.0,,,,0.0,0.0,,,,0.0
8382,0.03240620625538183,0.03240620625538183,0.03240620625538183,0.03240620625538183,0.03240620625538183,0.0,0.03240620625538183,0.03240620625538183,0.03240620625538183,0.03240620625538183
27101,,,,,0.0,0.0,,,,0.0
6664,0.04207488903861606,0.04207488903861606,0.04207488903861606,0.04207488903861606,0.0,0.0,0.04207488903861606,0.04207488903861606,0.04207488903861606,0.04207488903861606
64641,0.15089886593233642,0.15089886593233642,0.15089886593233642,0.15089886593233642,0.0,0.0,0.15089886593233642,0.15089886593233642,0.15089886593233642,0.15089886593233642
3831,,,,,0.0,0.0,,,,0.0
22861,0.6572385685878366,0.6572385685878366,0.6572385685878366,0.6572385685878366,0.0,0.0,0.6572385685878366,0.6572385685878366,0.6572385685878366,0.6572385685878366
2035,0.4339614135015186,0.4339614135015186,0.4339614135015186,0.4339614135015186,0.0,0.4339614135015186,0.4339614135015186,0.4339614135015186,0.4339614135015186,0.4339614135015186
1155,,,,,0.0,0.0,0.0,,,0.0
6447,0.31913104711215856,0.31913104711215856,0.31913104711215856,0.31913104711215856,0.0,0.0,0.31913104711215856,0.31913104711215856,0.31913104711215856,0.31913104711215856
23564,0.035378180641,0.035378180641,0.035378180641,0.035378180641,0.0,0.0,0.0,0.035378180641,0.035378180641,0.035378180641
5069,,,,,0.0,,,,,0.0
285313,0.9552160729052996,0.9552160729052996,0.9552160729052996,0.9552160729052996,0.0,0.0,0.9552160729052996,0.9552160729052996,0.9552160729052996,0.9552160729052996
22827,,,,,0.0,0.0,,,,0.0
57415,0.2749400911086802,0.2749400911086802,0.2749400911086802,0.2749400911086802,0.0,0.0,0.2749400911086802,0.2749400911086802,0.2749400911086802,0.2749400911086802
4857,0.0224333661795566,0.0224333661795566,0.0224333661795566,0.0224333661795566,0.0,0.0224333661795566,0.0224333661795566,0.0224333661795566,0.0224333661795566,0.0224333661795566
91404,,,,,0.0,,,,,0.0
284434,0.7072342498132452,0.7072342498132452,0.7072342498132452,0.7072342498132452,0.0,0.7072342498132452,0.7072342498132452,0.7072342498132452,0.7072342498132452,0.7072342498132452
282991,0.14978481774219013,0.14978481774219013,0.14978481774219013,0.14978481774219013,0.0,0.0,0.14978481774219013,0.14978481774219013,0.14978481774219013,0.14978481774219013
9246,,,,,0.0,0.0,,,,0.0
1653,,,,,0.0,0.0,,,,0.0
9240,,,,,0.0,,,,,0.0
1454,,,,,0.0,,,,,0.0
50810,,,,,0.0,,,,,0.0
3148,,,,,0.0,0.0,0.0,,,0.0
3122,0.20331295829546508,0.20331295829546508,0.20331295829546508,0.0,0.20331295829546508,0.20331295829546508,0.0,0.20331295829546508,0.20331295829546508,0.20331295829546508
3115,0.37525694306935975,0.37525694306935975,0.37525694306935975,0.0,0.37525694306935975,0.37525694306935975,0.0,0.37525694306935975,0.37525694306935975,0.37525694306935975
3113,0.1968861997488558,0.1968861997488558,0.1968861997488558,0.0,0.1968861997488558,0.1968861997488558,0.0,0.1968861997488558,0.1968861997488558,0.1968861997488558
5996,0.880980164152612,0.880980164152612,0.880980164152612,0.0,0.880980164152612,0.880980164152612,0.880980164152612,0.0,0.0,0.880980164152612
3119,0.06620392761324126,0.06620392761324126,0.06620392761324126,0.0,0.06620392761324126,0.06620392761324126,0.0,0.06620392761324126,0.06620392761324126,0.06620392761324126
199,0.6779539196068811,0.6779539196068811,0.6779539196068811,0.0,0.6779539196068811,0.6779539196068811,0.6779539196068811,0.6779539196068811,0.6779539196068811,0.6779539196068811
2207,0.895074651733345,0.895074651733345,0.895074651733345,0.0,0.895074651733345,0.895074651733345,0.895074651733345,0.895074651733345,0.895074651733345,0.895074651733345
3108,,,,0.0,,,0.0,,,0.0
3109,0.5608799982664641,0.5608799982664641,0.5608799982664641,0.0,0.5608799982664641,0.5608799982664641,0.5608799982664641,0.5608799982664641,0.5608799982664641,0.5608799982664641
7805,0.8597257640364617,0.8597257640364617,0.8597257640364617,0.0,0.8597257640364617,0.8597257640364617,0.8597257640364617,0.8597257640364617,0.0,0.8597257640364617
3553,0.5816740237503185,0.5816740237503185,0.5816740237503185,0.0,0.5816740237503185,0.5816740237503185,0.5816740237503185,0.5816740237503185,0.5816740237503185,0.5816740237503185
5329,0.08893006765046929,0.08893006765046929,0.08893006765046929,0.0,0.08893006765046929,0.08893006765046929,0.08893006765046929,0.08893006765046929,0.08893006765046929,0.08893006765046929
951,0.9021819420607722,0.9021819420607722,0.9021819420607722,0.0,0.9021819420607722,0.9021819420607722,0.9021819420607722,0.9021819420607722,0.9021819420607722,0.9021819420607722
718,0.5835689820236495,0.5835689820236495,0.5835689820236495,0.0,0.5835689820236495,0.5835689820236495,0.5835689820236495,0.5835689820236495,0.5835689820236495,0.5835689820236495
29108,0.07280219780219781,0.07280219780219781,0.07280219780219781,0.0,0.07280219780219781,0.07280219780219781,0.07280219780219781,0.07280219780219781,0.07280219780219781,0.07280219780219781
3606,0.698,0.698,0.698,0.0,0.698,0.698,0.698,0.698,0.698,0.698
558,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02
3059,0.7864910425730678,0.7864910425730678,0.7864910425730678,0.0,0.7864910425730678,0.7864910425730678,0.7864910425730678,0.7864910425730678,0.7864910425730678,0.7864910425730678
9976,0.7438376803028303,0.7438376803028303,0.7438376803028303,0.0,0.7438376803028303,0.7438376803028303,0.0,0.7438376803028303,0.7438376803028303,0.7438376803028303
284340,0.0,0.886941516499854,0.0,0.886941516499854,0.886941516499854,0.886941516499854,0.886941516499854,0.886941516499854,0.886941516499854,0.886941516499854
9071,0.0,0.8867467325192546,0.0,0.8867467325192546,0.8867467325192546,0.8867467325192546,0.8867467325192546,0.8867467325192546,0.8867467325192546,0.8867467325192546
2938,0.6923652930541797,0.6923652930541797,0.0,0.6923652930541797,0.6923652930541797,0.6923652930541797,0.6923652930541797,0.6923652930541797,0.6923652930541797,0.6923652930541797
3934,0.8278273797763644,0.8278273797763644,0.0,0.8278273797763644,0.8278273797763644,0.8278273797763644,0.8278273797763644,0.8278273797763644,0.8278273797763644,0.8278273797763644
2001,0.7186605695589124,0.7186605695589124,0.0,0.7186605695589124,0.7186605695589124,0.7186605695589124,0.7186605695589124,0.7186605695589124,0.7186605695589124,0.7186605695589124
7803,0.0,,0.0,,,,,,,0.0
11135,,,0.0,,,,,,,0.0
131177,0.8168757494906494,0.8168757494906494,0.0,0.8168757494906494,0.8168757494906494,0.8168757494906494,0.8168757494906494,0.8168757494906494,0.8168757494906494,0.8168757494906494
3176,0.7436474486118714,0.7436474486118714,0.0,0.7436474486118714,0.7436474486118714,0.7436474486118714,0.7436474486118714,0.7436474486118714,0.7436474486118714,0.7436474486118714
51020,0.0,,0.0,,,0.0,,,,0.0
4256,0.7755827599189722,0.0,0.7755827599189722,0.7755827599189722,0.7755827599189722,0.7755827599189722,0.0,0.7755827599189722,0.7755827599189722,0.7755827599189722
3956,0.0,0.0,0.0,0.0,,,,0.0,,0.0
5118,0.8916061148881612,0.0,0.8916061148881612,0.8916061148881612,0.8916061148881612,0.8916061148881612,0.8916061148881612,0.8916061148881612,0.8916061148881612,0.8916061148881612
6678,,0.0,,,,,0.0,,,0.0
5176,0.0,0.0,0.0,0.7419971136334578,0.7419971136334578,0.7419971136334578,0.7419971136334578,0.7419971136334578,0.7419971136334578,0.7419971136334578
4239,0.4159903157253002,0.0,0.4159903157253002,0.4159903157253002,0.4159903157253002,0.4159903157253002,0.4159903157253002,0.4159903157253002,0.4159903157253002,0.4159903157253002
1281,0.6525388179447409,0.0,0.6525388179447409,0.6525388179447409,0.6525388179447409,0.6525388179447409,0.6525388179447409,0.6525388179447409,0.6525388179447409,0.6525388179447409
56892,0.9106471045940274,0.0,0.9106471045940274,0.9106471045940274,0.9106471045940274,0.9106471045940274,0.0,0.9106471045940274,0.9106471045940274,0.9106471045940274
11185,0.7620453602778802,0.0,0.7620453602778802,0.7620453602778802,0.7620453602778802,0.7620453602778802,0.7620453602778802,0.7620453602778802,0.7620453602778802,0.7620453602778802
1292,0.14089492297460177,0.0,0.14089492297460177,0.14089492297460177,0.14089492297460177,0.0,0.14089492297460177,0.14089492297460177,0.14089492297460177,0.14089492297460177
1277,,0.0,,,,,,,,0.0
11010,0.30374081576387496,0.0,0.30374081576387496,0.0,0.30374081576387496,0.30374081576387496,0.30374081576387496,0.30374081576387496,0.30374081576387496,0.30374081576387496
9590,0.6576617356201644,0.0,0.6576617356201644,0.6576617356201644,0.6576617356201644,0.6576617356201644,0.6576617356201644,0.6576617356201644,0.6576617356201644,0.6576617356201644
54587,0.1670523252623975,0.0,0.1670523252623975,0.1670523252623975,0.1670523252623975,0.1670523252623975,0.1670523252623975,0.1670523252623975,0.1670523252623975,0.1670523252623975
7045,,0.0,,,,,,,,0.0
26471,0.7710404384812783,0.0,0.0,0.7710404384812783,0.7710404384812783,0.7710404384812783,0.0,0.7710404384812783,0.7710404384812783,0.7710404384812783
4692,,0.0,,,,,,,,0.0
684,0.47955696369916034,0.0,0.47955696369916034,0.0,0.47955696369916034,0.47955696369916034,0.0,0.0,0.47955696369916034,0.47955696369916034
3872,0.0,0.7155623912165989,0.7155623912165989,0.7155623912165989,0.7155623912165989,0.7155623912165989,0.7155623912165989,0.7155623912165989,0.7155623912165989,0.7155623912165989
3852,0.0,0.8081074017886702,0.8081074017886702,0.8081074017886702,0.8081074017886702,0.8081074017886702,0.8081074017886702,0.8081074017886702,0.8081074017886702,0.8081074017886702
4070,0.0,0.29266189749056304,0.0,0.29266189749056304,0.29266189749056304,0.29266189749056304,0.29266189749056304,0.29266189749056304,0.29266189749056304,0.29266189749056304
11170,0.0,0.9052146955131395,0.0,0.9052146955131395,0.9052146955131395,0.9052146955131395,0.9052146955131395,0.9052146955131395,0.9052146955131395,0.9052146955131395
10863,0.0,0.6275726538079496,0.6275726538079496,0.0,0.6275726538079496,0.6275726538079496,0.6275726538079496,0.6275726538079496,0.6275726538079496,0.6275726538079496
55742,0.0,,,,,,,,,0.0
57402,0.0,0.8300055012965534,0.8300055012965534,0.8300055012965534,0.8300055012965534,0.8300055012965534,0.8300055012965534,0.8300055012965534,0.8300055012965534,0.8300055012965534
780,0.0,,,,,,,,,0.0
6337,0.0,0.9016631232646213,0.9016631232646213,0.9016631232646213,0.9016631232646213,0.9016631232646213,0.9016631232646213,0.9016631232646213,0.9016631232646213,0.9016631232646213
9962,0.0,,,,,,,,,0.0
3664,0.0,0.043416149423818766,0.043416149423818766,0.043416149423818766,0.043416149423818766,0.043416149423818766,0.043416149423818766,0.043416149423818766,0.043416149423818766,0.043416149423818766
22800,0.0,,,,,,,,,0.0
3475,0.0,0.3398108300051992,0.3398108300051992,0.3398108300051992,0.3398108300051992,0.3398108300051992,0.3398108300051992,0.3398108300051992,0.3398108300051992,0.3398108300051992
1043,0.445,0.445,0.445,0.445,0.445,0.445,0.445,0.445,0.0,0.445
9235,0.8633333333333333,0.8633333333333333,0.8633333333333333,0.8633333333333333,0.8633333333333333,0.8633333333333333,0.8633333333333333,0.8633333333333333,0.0,0.8633333333333333
914,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.0,0.92
10870,0.745,0.745,0.745,0.0,0.745,0.745,0.745,0.745,0.0,0.745
962,0.7775000000000001,0.7775000000000001,0.7775000000000001,0.7775000000000001,0.7775000000000001,0.7775000000000001,0.7775000000000001,0.7775000000000001,0.0,0.7775000000000001
917,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.0,0.65
29121,0.8775,0.8775,0.8775,0.8775,0.8775,0.8775,0.8775,0.8775,0.0,0.8775
9262,0.93,0.93,0.93,0.0,0.93,0.93,0.93,0.93,0.0,0.93
973,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.0,0.55,0.55
3669,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.0,0.88,0.88
939,0.8875,0.8875,0.8875,0.8875,0.8875,0.8875,0.8875,0.0,0.8875,0.8875
952,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.0,0.22,0.22
27248,,,0.0,,0.0,0.0,,0.0,,0.0
83416,0.6733333333333333,0.6733333333333333,0.6733333333333333,0.6733333333333333,0.6733333333333333,0.6733333333333333,0.6733333333333333,0.0,0.6733333333333333,0.6733333333333333
57823,0.8500000000000001,0.8500000000000001,0.8500000000000001,0.8500000000000001,0.8500000000000001,0.8500000000000001,0.8500000000000001,0.0,0.8500000000000001,0.8500000000000001
58477,,,,,,,,0.0,,0.0
9452,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.3,0.3,0.3
2532,0.5825,0.5825,0.5825,0.5825,0.5825,0.5825,0.0,0.5825,0.5825,0.5825
6401,0.8733333333333333,0.8733333333333333,0.8733333333333333,0.8733333333333333,0.8733333333333333,0.8733333333333333,0.0,0.8733333333333333,0.8733333333333333,0.8733333333333333
11007,,,,,,,0.0,,,0.0
29995,0.015357142857142857,0.015357142857142857,0.015357142857142857,0.015357142857142857,0.015357142857142857,0.015357142857142857,0.0,0.015357142857142857,0.015357142857142857,0.015357142857142857
947,0.28,0.28,0.28,0.28,0.28,0.28,0.0,0.28,0.28,0.28
9351,0.060909090909090906,0.060909090909090906,0.060909090909090906,0.060909090909090906,0.060909090909090906,0.060909090909090906,0.0,0.060909090909090906,0.060909090909090906,0.060909090909090906
54873,0.5275000000000001,0.5275000000000001,0.5275000000000001,0.5275000000000001,0.5275000000000001,0.5275000000000001,0.0,0.5275000000000001,0.5275000000000001,0.5275000000000001
58494,0.03111111111111111,0.03111111111111111,0.03111111111111111,0.03111111111111111,0.03111111111111111,0.03111111111111111,0.0,0.03111111111111111,0.03111111111111111,0.03111111111111111
10268,0.024,0.024,0.024,0.024,0.024,0.024,0.0,0.024,0.024,0.024
220965,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01
55303,0.91,0.91,0.91,0.91,0.91,0.91,0.0,0.91,0.91,0.91
79927,0.5675,0.5675,0.5675,0.5675,0.5675,0.5675,0.0,0.5675,0.5675,0.5675
10203,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1
