marker_ID,EC,Epi,Lym,Mye,Stromal,weight
1675,0.5968421921321027,0.5968421921321027,0.5968421921321027,0.5968421921321027,0.0,0.5968421921321027
2878,0.088,0.088,0.088,0.088,0.0,0.088
125,0.675,0.675,0.675,0.675,0.0,0.675
4256,0.7755827599189722,0.7755827599189722,0.7755827599189722,0.7755827599189722,0.0,0.7755827599189722
710,0.75,0.75,0.75,0.75,0.0,0.75
715,0.0325,0.0325,0.0325,0.0325,0.0,0.0325
1292,0.14089492297460177,0.14089492297460177,0.14089492297460177,0.14089492297460177,0.0,0.14089492297460177
6649,0.3639285714285714,0.3639285714285714,0.3639285714285714,0.3639285714285714,0.0,0.3639285714285714
4239,0.4159903157253002,0.4159903157253002,0.4159903157253002,0.4159903157253002,0.0,0.4159903157253002
5176,0.7419971136334578,0.7419971136334578,0.7419971136334578,0.7419971136334578,0.0,0.7419971136334578
3488,0.5125,0.5125,0.5125,0.5125,0.0,0.5125
718,0.5835689820236495,0.5835689820236495,0.5835689820236495,0.5835689820236495,0.0,0.5835689820236495
10398,0.1652941176470588,0.1652941176470588,0.1652941176470588,0.1652941176470588,0.0,0.1652941176470588
219348,0.25101371346469753,0.25101371346469753,0.25101371346469753,0.25101371346469753,0.0,0.25101371346469753
1513,0.9668705339977453,0.9668705339977453,0.9668705339977453,0.9668705339977453,0.0,0.9668705339977453
5376,0.6086609214368442,0.6086609214368442,0.6086609214368442,0.6086609214368442,0.0,0.6086609214368442
1281,0.6525388179447409,0.6525388179447409,0.6525388179447409,0.6525388179447409,0.0,0.6525388179447409
2200,0.3399919444800981,0.3399919444800981,0.3399919444800981,0.3399919444800981,0.0,0.3399919444800981
3075,0.7173035734485255,0.7173035734485255,0.7173035734485255,0.7173035734485255,0.0,0.7173035734485255
10457,0.9178044117763801,0.9178044117763801,0.9178044117763801,0.9178044117763801,0.0,0.9178044117763801
1293,0.7825930826507164,0.7825930826507164,0.7825930826507164,0.7825930826507164,0.0,0.7825930826507164
28959,0.4,0.4,0.4,0.4,0.0,0.4
286133,0.36500000000000005,0.36500000000000005,0.36500000000000005,0.36500000000000005,0.0,0.36500000000000005
55365,0.05,0.05,0.05,0.05,0.0,0.05
9689,0.07350372669411705,0.07350372669411705,0.07350372669411705,0.07350372669411705,0.0,0.07350372669411705
3122,0.20331295829546508,0.20331295829546508,0.20331295829546508,0.0,0.20331295829546508,0.20331295829546508
7305,0.81,0.81,0.81,0.0,0.81,0.81
4069,0.8200652981348844,0.8200652981348844,0.8200652981348844,0.0,0.8200652981348844,0.8200652981348844
2207,0.895074651733345,0.895074651733345,0.895074651733345,0.0,0.895074651733345,0.895074651733345
3113,0.1968861997488558,0.1968861997488558,0.1968861997488558,0.0,0.1968861997488558,0.1968861997488558
3115,0.37525694306935975,0.37525694306935975,0.37525694306935975,0.0,0.37525694306935975,0.37525694306935975
712,0.85,0.85,0.85,0.0,0.85,0.85
714,0.8866666666666667,0.8866666666666667,0.8866666666666667,0.0,0.8866666666666667,0.8866666666666667
199,0.6779539196068811,0.6779539196068811,0.6779539196068811,0.0,0.6779539196068811,0.6779539196068811
7805,0.8597257640364617,0.8597257640364617,0.8597257640364617,0.0,0.8597257640364617,0.8597257640364617
3119,0.06620392761324126,0.06620392761324126,0.06620392761324126,0.0,0.06620392761324126,0.06620392761324126
968,0.44,0.44,0.44,0.0,0.44,0.44
1520,0.76,0.76,0.76,0.0,0.76,0.76
6688,0.6975,0.6975,0.6975,0.0,0.6975,0.6975
10875,0.27749999999999997,0.27749999999999997,0.27749999999999997,0.0,0.27749999999999997,0.27749999999999997
128346,0.9527609333333333,0.9527609333333333,0.9527609333333333,0.0,0.9527609333333333,0.9527609333333333
241,0.7428699813759462,0.7428699813759462,0.7428699813759462,0.0,0.7428699813759462,0.7428699813759462
58475,0.41,0.41,0.41,0.0,0.41,0.41
3936,0.91,0.91,0.91,0.0,0.91,0.91
1890,0.06838709677419355,0.06838709677419355,0.06838709677419355,0.0,0.06838709677419355,0.06838709677419355
8673,0.595,0.595,0.595,0.0,0.595,0.595
3059,0.7864910425730678,0.7864910425730678,0.7864910425730678,0.0,0.7864910425730678,0.7864910425730678
10870,0.745,0.745,0.745,0.0,0.745,0.745
1522,0.4261904761904762,0.4261904761904762,0.4261904761904762,0.0,0.4261904761904762,0.4261904761904762
9535,0.8350633117130937,0.8350633117130937,0.8350633117130937,0.0,0.8350633117130937,0.8350633117130937
951,0.9021819420607722,0.9021819420607722,0.9021819420607722,0.0,0.9021819420607722,0.9021819420607722
29108,0.07280219780219781,0.07280219780219781,0.07280219780219781,0.0,0.07280219780219781,0.07280219780219781
1992,0.48,0.48,0.48,0.0,0.48,0.48
51237,0.7383599612225291,0.7383599612225291,0.0,0.7383599612225291,0.7383599612225291,0.7383599612225291
3669,0.88,0.88,0.0,0.88,0.88,0.88
973,0.55,0.55,0.0,0.55,0.55,0.55
5880,0.2885714285714286,0.2885714285714286,0.0,0.2885714285714286,0.2885714285714286,0.2885714285714286
4046,0.9066666666666667,0.9066666666666667,0.0,0.0,0.9066666666666667,0.9066666666666667
9595,0.9589742090697976,0.9589742090697976,0.0,0.9589742090697976,0.9589742090697976,0.9589742090697976
330,0.08499999999999999,0.08499999999999999,0.0,0.08499999999999999,0.08499999999999999,0.08499999999999999
2995,0.5969758988045732,0.5969758988045732,0.0,0.5969758988045732,0.5969758988045732,0.5969758988045732
9262,0.93,0.93,0.0,0.93,0.93,0.93
