gsm,arm,cohort,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
GSM1235566,case,GSE51057,2.863146414821385,-0.35889080646725935,0.2055489165773769,-0.46554542298070967,-0.20543788176361105,-0.41142989066900354,0.12783490921754523,0.07981296314934404
GSM1235915,case,GSE51057,1.2596107155656278,-0.7476324076967528,-0.06605552392544813,0.07877521718037395,0.23513699182232226,0.3726695487126596,0.010191420770549891,-0.09636960070492445
GSM1235926,case,GSE51057,4.635883176674543,-0.3947582331069571,-0.11908142633318732,-0.5417248200257982,-0.2075625236266878,-0.0391742969360627,0.2915156321144904,-0.07548326262953318
GSM1235936,case,GSE51057,6.882094486384195,0.8458886092027714,-1.579478370001266,-0.9806310818367229,-0.34239422627494837,-0.26795782648107963,-0.2196937027347495,-0.15174220465407962
GSM1235939,case,GSE51057,5.745947325490308,-0.4367599701552006,-0.43322444793302695,-0.6612756576816096,0.9263543507634749,-0.6766341625943659,-0.25779526783069767,-0.17901397092217483
GSM1236100,case,GSE51057,1.4917797622186832,-0.18384495902060355,-0.6233742584846308,0.1279231801476812,0.5254373579855393,0.04551246011584538,0.09231924283990309,0.029176634603365635
GSM1236213,case,GSE51057,-0.3930088556105262,0.3990753017961628,0.4389923066591557,-1.7341847996871909,0.2754482622068281,0.42105126525221703,0.29987803681521885,-0.17762155737927662
GSM1236218,case,GSE51057,3.0763270101747078,-1.82079004060744,0.1535979141481362,0.3294373476689398,1.2808993101518955,-0.5062579895059959,0.47171862335123904,-0.21042612228476223
GSM1236295,case,GSE51057,0.767242520174881,-0.7952503915784377,-0.4461106212965631,-0.12002174273233455,0.23801971937797728,-0.10027611053309347,-0.17505224489524493,0.02346192444671115
GSM1236332,case,GSE51057,-1.0705329840568099,0.2809517694244991,-0.43785604887081564,-0.7307019666019968,0.3600957822584946,0.6722634018337275,0.004267486413384278,-0.23774098733695911
GSM1236345,case,GSE51057,3.988273325875254,-1.6230195444075783,0.25846869121964117,-0.19966542437084595,-0.19124886987084372,1.4299285234862384,-0.4305914946502887,-0.3191297135503737
GSM1235534,hc,GSE51057,0.5147535311027308,0.328254238893853,0.6074553285826554,0.542300235916061,-0.18574845043307414,-0.05703047599656019,0.1215688486729148,0.0776660880887548
GSM1235535,hc,GSE51057,0.6669893856514897,-0.8487207904596941,-0.10541167768749442,0.20287927778704443,-0.27324903690235924,0.42009476508605165,0.14029259887195822,-0.02668480126535609
GSM1235537,hc,GSE51057,0.59920151656163,-0.8157721217472176,-0.005163084780250543,0.09510596791871077,-0.1905774897007067,0.19107823704943522,-0.24744389584295523,-0.01244634946443455
GSM1235539,hc,GSE51057,0.8268540203329818,-0.801372077998512,-0.699976951995418,-0.4063114879207235,-0.9191983829150241,-0.039362440563945424,-0.055112503945645666,0.08746291549256074
GSM1235540,hc,GSE51057,-1.2808547890202682,-1.5512288919895607,0.6096425304124552,0.7020808942005493,-0.39334787795348813,0.055630625266404346,0.016679201933185187,0.21419914947444293
GSM1235541,hc,GSE51057,-5.162676789927827,1.2045259588399246,0.5567202974219359,-0.041949925444501206,-0.008950900410778196,0.11635240119618236,0.11516783090627689,0.013531871430567758
GSM1235542,hc,GSE51057,0.3745105252219076,0.19201348039577523,-0.4166565296575657,-0.6568909356378234,0.266352443554331,0.04635397138064769,0.0037160716785858616,0.14214548546871386
GSM1235545,hc,GSE51057,-1.481930328599018,-0.4802468917060562,-0.19969016694164302,0.8495757107932869,0.4937810287596328,0.08103855079656302,0.17487777621249792,-0.05795844353818912
GSM1235546,hc,GSE51057,1.2486491301947475,-0.7109236988747968,0.0001915865371154048,-0.24277054372168158,-0.07073226365490867,0.28360957218050525,0.14399873695055082,0.13257120986327706
GSM1235547,hc,GSE51057,0.5397253810908912,0.0402890720324398,-0.7442226343797829,-0.3344030014665333,0.2916386677739696,-0.012228220906036506,-0.21205007337570114,-0.007047666261968522
GSM1235552,hc,GSE51057,1.93630797362068,-0.3794172591778228,-0.6105959714119941,0.5517363755435583,0.13582812939916938,0.03492766692821139,0.01595091833291471,0.08143972092945645
GSM1235554,hc,GSE51057,-0.7580074721790483,-0.3268341069705016,-0.2159390439505114,0.5381151399584548,0.3666366269104623,-0.12320703772063407,-0.2665696709998089,-0.24535409201999211
GSM1235555,hc,GSE51057,-0.6403860258790915,0.3030142097671288,-0.5006757807095682,-0.05669143190278835,0.6402660247286796,0.2086290578208358,-0.3417218281446139,-0.12151440603607595
