marker_ID,Basal,Fib,Gland,Macro,NeuIm,NeuMa,Peri,Plasma,Tcell
CXCR4,0.0,0.0,0.0,2.9866468791770258,0.0,0.0,0.0,0.0,3.403988881430851
CCL5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.406804824903758
CD52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.748544656607301
CD69,0.0,0.0,0.0,0.7984789826088208,0.0,0.0,0.0,0.0,2.5696236260926804
TRAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.368534909284873
CCL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2751947003432127
CD3D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0795887021791124
IL32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1284607867951406
CD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0634204152820033
PTPRC,0.0,0.0,0.0,1.2661379638547756,0.0,0.0,0.0,0.0,2.129766327966782
CORO1A,0.0,0.0,0.0,1.2696255114509474,0.0,0.0,0.0,0.0,2.065474101492848
TRBC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9710992820579203
HCST,0.0,0.0,0.0,1.2407514856136614,0.0,0.0,0.0,0.0,2.029095464061835
IL7R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9155087323436173
ARHGDIB,0.0,0.0,0.0,1.5896814669952057,0.0,0.0,0.7031449800951542,0.0,2.060127555156174
CD3E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4308326041633435
FYB1,0.0,0.0,0.0,1.1056624317579455,0.0,0.0,0.0,0.0,1.6870208325456915
TSC22D3,0.7916564048407138,0.0,0.0,0.9669808496151622,0.0,0.0,0.6737762323627317,1.7175473127722085,2.1422751328062524
CD48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.627821920182793
CD3G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.007898253040103
TNFAIP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4228945162373015
CLEC2D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0527452378588007
STK4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45225541789751256,1.571888370464347
EVL,0.0,0.0,0.0,0.0,0.7652754367217227,0.0,0.43957273495417304,0.0,1.4633953013476
LEPROTL1,0.0,0.0,0.0,0.0,0.8116255962543555,0.3653438958058725,0.0,0.0,1.338504935395251
GMFG,0.0,0.0,0.0,1.001988370643382,0.0,0.0,0.6271518762496417,0.37597628668277694,1.4132900473852215
STK17B,0.0,0.0,0.0,0.835452103399198,0.0,0.0,0.0,0.0,1.1860997062951526
