marker_ID,neuron,Oligo,Astro,OPC,Endo,Microglia,weight
972,0.24037954358207297,0.24037954358207297,0.24037954358207297,0.24037954358207297,0.24037954358207297,0.0,0.24037954358207297
54518,0.06720243628350552,0.06720243628350552,0.06720243628350552,0.06720243628350552,0.06720243628350552,0.0,0.06720243628350552
10863,0.6275726538079496,0.6275726538079496,0.6275726538079496,0.6275726538079496,0.6275726538079496,0.0,0.6275726538079496
55843,0.8323948557751156,0.8323948557751156,0.8323948557751156,0.8323948557751156,0.8323948557751156,0.0,0.8323948557751156
3635,0.8504789370793492,0.8504789370793492,0.8504789370793492,0.8504789370793492,0.8504789370793492,0.0,0.8504789370793492
79895,0.5384368971323752,0.5384368971323752,0.5384368971323752,0.5384368971323752,0.5384368971323752,0.0,0.5384368971323752
91526,0.7619751420839901,0.7619751420839901,0.7619751420839901,0.7619751420839901,0.7619751420839901,0.0,0.7619751420839901
26034,0.956733183292489,0.956733183292489,0.956733183292489,0.956733183292489,0.956733183292489,0.0,0.956733183292489
7122,0.8970095005763045,0.8970095005763045,0.8970095005763045,0.8970095005763045,0.0,0.8970095005763045,0.8970095005763045
10974,0.6705169692134806,0.6705169692134806,0.6705169692134806,0.6705169692134806,0.0,0.6705169692134806,0.6705169692134806
3429,0.5792166453647069,0.5792166453647069,0.5792166453647069,0.5792166453647069,0.0,0.5792166453647069,0.5792166453647069
3956,,,,,0.0,,0.0
6678,,,,,0.0,,0.0
5159,0.3025070457888689,0.3025070457888689,0.3025070457888689,0.3025070457888689,0.0,0.3025070457888689,0.3025070457888689
5552,0.6956465413453106,0.6956465413453106,0.6956465413453106,0.6956465413453106,0.0,0.6956465413453106,0.6956465413453106
2022,0.742288624065208,0.742288624065208,0.742288624065208,0.742288624065208,0.0,0.742288624065208,0.742288624065208
10791,0.1823809523809524,0.1823809523809524,0.1823809523809524,0.1823809523809524,0.0,0.1823809523809524,0.1823809523809524
684,0.47955696369916034,0.47955696369916034,0.47955696369916034,0.47955696369916034,0.0,0.47955696369916034,0.47955696369916034
4430,,,,,0.0,,0.0
25937,0.566392560112367,0.566392560112367,0.566392560112367,0.566392560112367,0.0,0.566392560112367,0.566392560112367
5797,,,,,0.0,,0.0
83442,,,,,0.0,,0.0
84525,0.48831253864177077,0.48831253864177077,0.48831253864177077,0.48831253864177077,0.0,0.48831253864177077,0.48831253864177077
4857,0.0,0.0224333661795566,0.0224333661795566,0.0,0.0224333661795566,0.0224333661795566,0.0224333661795566
1012,0.0,0.13158249737684735,0.13158249737684735,0.0,0.13158249737684735,0.13158249737684735,0.13158249737684735
23194,0.014837754750000001,0.0,0.0,0.014837754750000001,0.014837754750000001,0.014837754750000001,0.014837754750000001
2752,0.7249970237586538,0.7249970237586538,0.0,0.7249970237586538,0.0,0.7249970237586538,0.7249970237586538
169792,0.05463936028134708,0.05463936028134708,0.0,0.05463936028134708,0.05463936028134708,0.05463936028134708,0.05463936028134708
2697,0.41,0.41,0.0,0.41,0.41,0.41,0.41
55268,,,0.0,,,,0.0
6696,0.863868070384044,0.0,0.863868070384044,0.863868070384044,0.863868070384044,0.0,0.863868070384044
10351,0.7297820130040555,0.0,0.7297820130040555,0.7297820130040555,0.7297820130040555,0.7297820130040555,0.7297820130040555
9586,0.18630016122253157,0.0,0.18630016122253157,0.18630016122253157,0.18630016122253157,0.18630016122253157,0.18630016122253157
159195,0.9160735587233022,0.0,0.9160735587233022,0.9160735587233022,0.9160735587233022,0.9160735587233022,0.9160735587233022
79817,0.08096377699099722,0.0,0.08096377699099722,0.08096377699099722,0.08096377699099722,0.08096377699099722,0.08096377699099722
151126,0.0,0.8582678752237248,0.8582678752237248,0.8582678752237248,0.8582678752237248,0.8582678752237248,0.8582678752237248
337876,0.0,0.026251785698068606,0.026251785698068606,0.026251785698068606,0.026251785698068606,0.026251785698068606,0.026251785698068606
