marker_ID,Endo,Epi,Gran,Lym,Macro,Mono,Stromal
S100A9,0.0,0.0,0.0,0.0,2.4951960774848554,2.6379164842288954,0.0
LST1,0.0,0.0,0.0,0.0,1.9163197054225092,2.477524147593424,0.0
CTSS,0.0,0.5445911158249904,0.0,0.0,2.983606427961554,3.1127273153302792,0.0
S100A8,0.0,0.0,0.0,0.0,1.778140340809816,1.9323760227287632,0.0
COTL1,0.0,0.0,0.0,0.0,1.6806977160338281,2.5847452044928483,0.0
FCN1,0.0,0.0,0.0,0.0,0.0,1.9831597120317919,0.0
MS4A6A,0.0,0.0,0.0,0.0,1.3607126376316352,2.1478525736387395,0.0
TYMP,0.0,0.0,0.0,0.0,1.9357097696177195,2.3353907100809552,0.0
FGL2,0.0,0.0,0.0,0.0,0.0,1.6916993193360697,0.0
MNDA,0.0,0.0,0.0,0.0,1.7980069300406232,1.8281681463091948,0.0
CD14,0.0,0.0,0.0,0.0,1.2394132057150242,1.7564028667822562,0.0
AP1S2,0.0,0.0,0.0,0.0,0.3944912167269375,1.5665871188199234,0.0
CPVL,0.0,0.0,0.0,0.0,1.361287703284172,1.6068828168249205,0.0
CFP,0.0,0.0,0.0,0.0,0.0,1.3092603246189356,0.0
FAM26F,0.0,0.0,0.0,0.0,0.0,1.1868877924410026,0.0
TNFSF13B,0.0,0.0,0.0,0.0,0.6924811798693272,1.2635816820225354,0.0
LSP1,0.0,0.0,0.0,1.897460063107149,1.7207215066123591,1.928658992570558,0.0
RNASE6,0.0,0.0,0.0,0.0,0.3937987810580516,1.1874417933610741,0.0
MPEG1,0.0,0.0,0.0,0.0,0.0,1.0411627869660867,0.0
MAFB,0.0,0.0,0.0,0.0,0.30311489771144945,0.9843847751310504,0.0
CLEC7A,0.0,0.0,0.0,0.0,0.6261308689352483,1.0836395897295332,0.0
RNASET2,0.0,0.0,0.0,0.0,1.3558826607018672,1.5678879891554194,0.0
CYBB,0.0,0.0,0.0,0.0,1.070553686484478,1.2295089528564185,0.0
C10orf54,0.0,0.0,0.0,0.0,0.18925636854880487,1.2686111607353916,0.0
GPR183,0.0,0.0,0.0,0.0,0.0,0.3217154889860955,0.0
FGR,0.0,0.0,0.0,0.0,0.47019871166867766,1.0412813569290011,0.0
NAMPT,0.0,0.0,0.0,0.0,0.8076456868403529,1.2021326202541691,0.0
STK17B,0.0,0.0,1.2221965432823876,0.0,0.3387158088676176,1.2562560619987155,0.0
EVI2B,0.0,0.0,0.0,0.0,1.1098483619350354,1.2599520720678372,0.0
C14orf2,0.0,1.1615959671246887,0.9615584765021443,0.0,1.272251272591845,1.7528440529783813,0.0
FYB,0.0,0.0,0.0,0.0,0.0,1.0335182589239844,0.0
LILRB2,0.0,0.0,0.0,0.0,0.0,0.0873505737657973,0.0
TNFRSF1B,0.0,0.0,0.0,0.0,0.0,0.7918655081422283,0.0
GLIPR1,0.0,0.0,0.0,0.0,0.7428840822928632,1.0831654318463715,0.0
H3F3AP4,0.0,0.0,0.0,0.0,0.4662026867082691,1.1262928720858565,0.0
LYN,0.0,0.0,0.0,0.0,0.3718741636721289,0.781732719904764,0.0
RNF130,0.0,0.0,0.0,0.0,1.251190521330607,1.2796263315807093,0.0
NUP214,0.0,0.0,0.0,0.0,0.5041168377513829,0.6350698793443396,0.0
TRAPPC5,0.0,0.9184441352142155,0.0,0.0,1.0959306089067273,1.4073196515101354,0.0
RHOG,0.0,0.0,1.1053237232560966,0.0,1.0775320849870538,1.252049141639445,0.0
CNPY3,0.0,0.0,0.0,0.0,0.6382769831465438,1.0050345334121906,0.0
PRELID1,0.0,0.7248376680265018,0.0,0.0,1.2865487224695045,1.4879885823642942,0.0
ZFAND5,0.0,0.6789197014433002,0.0,0.0,0.7369260673433715,1.2138153571174586,0.0
ZFAS1,0.0,1.1132915801181962,1.0908069837948835,0.0,0.9111438129804281,1.4644169453156246,0.0
HCLS1,0.0,0.0,0.0,0.0,0.7558557586640093,0.9862784009212,0.0
PTPRE,0.0,0.0,0.0,0.0,0.0,0.5468807613533548,0.0
MEF2C,0.0,0.0,0.0,0.0,0.0,0.59356905196539,0.0
PGLS,0.0,0.4339720700444797,0.0,0.0,0.736528631620078,1.0739036194298843,0.0
EVI2A,0.0,0.0,0.0,0.0,0.3909605772300205,0.8282567495913835,0.0
SERP1,0.0,1.594956702346758,1.0216512475319814,0.0,1.1866505398326732,1.6350416592985806,0.0
ARRB2,0.0,0.0,0.0,0.0,0.9565958433543013,0.9817677208755172,0.0
GNAI2,1.0853900011007462,0.0,0.0,0.0,1.0031078314133892,1.1708380944500354,0.0
FAM49B,0.0,0.0,0.0,0.0,0.563717841112888,0.9153617397637104,0.0
CD4,0.0,0.0,0.0,0.0,0.6494974309598845,0.7600937616258494,0.0
SOD2,0.0,0.0,0.0,0.0,0.3702724206336256,0.7193386590155382,0.0
CMTM6,0.0,0.0,0.0,0.0,0.8320069397375089,1.087927580766953,0.0
ACTR2,0.0,0.0,0.0,0.0,1.0697983820520083,1.1262224552067774,0.0
SMAP2,0.0,0.0,0.0,0.0,0.0,0.2426478217787938,0.0
CECR1,0.0,0.0,0.0,0.0,0.4900703546391542,0.5201151299427026,0.0
PTP4A2,0.0,0.5820754218887365,0.0,0.0,0.5974845784208258,1.0350373820867365,0.0
ZEB2,0.0,0.0,0.0,0.0,0.33967995635412535,0.4310172762566093,0.0
ARPC4,0.0,0.0,0.0,0.5749609631627186,1.0659768630459716,1.2295089528564185,0.0
DAZAP2,0.0,0.641326183874922,0.0,0.0,0.621010499644578,1.1559091014209744,0.0
ATP2B1,0.0,0.0,0.0,0.0,0.7354238471128269,0.8050039870997093,0.0
UCP2,0.0,0.0,0.0,0.0,0.7161396718419072,0.9323514678370824,0.0
GDI2,0.0,0.0,0.0,0.0,1.0336641177049501,1.1447915075168258,0.0
MARCKS,0.0,0.0,0.0,0.0,0.0,0.4738758509282451,0.0
IFNGR2,0.0,0.0,0.0,0.0,0.4777748493994852,0.5896773449505679,0.0
NDUFB1,0.0,0.9524695910648091,1.1636735705444983,0.0,1.1549652252192415,1.2775926360630334,0.0
ATG3,0.0,0.0,0.0,0.0,0.7389199880887339,0.794550111923531,0.0
AHNAK,0.0,0.0,1.068040528859167,0.0,0.7286229485597285,1.0889727052438394,0.0
CHMP1B,0.0,0.0,0.0,0.0,0.44982425172995955,0.7279522877834786,0.0
EIF3M,0.0,0.0,0.0,0.0,0.5941319265872606,0.8746412363014412,0.0
HIGD2A,0.0,0.8754162427247933,0.0,0.0,0.9947691636926778,1.2118229868355743,0.0
TGFB1,0.0,0.0,0.0,0.0,0.7131956216284417,0.752338631157737,0.0
C7orf73,0.0,0.0,0.0,0.0,0.47436827465349374,0.75804890479848,0.0
