marker_ID,Acinar,Ductal,EC,Endocrine,IC,Stellate,weight
1292,0.14089492297460177,0.14089492297460177,0.14089492297460177,0.14089492297460177,0.14089492297460177,0.0,0.14089492297460177
1277,,,,,,0.0,0.0
1281,0.6525388179447409,0.6525388179447409,0.6525388179447409,0.6525388179447409,0.6525388179447409,0.0,0.6525388179447409
5159,0.3025070457888689,0.3025070457888689,0.3025070457888689,0.3025070457888689,0.3025070457888689,0.0,0.3025070457888689
1293,0.7825930826507164,0.7825930826507164,0.7825930826507164,0.7825930826507164,0.7825930826507164,0.0,0.7825930826507164
23704,0.42495703358597486,0.42495703358597486,0.42495703358597486,0.42495703358597486,0.42495703358597486,0.0,0.42495703358597486
687,0.47,0.47,0.47,0.47,0.47,0.0,0.47
3976,0.037474064721690695,0.037474064721690695,0.037474064721690695,0.037474064721690695,0.037474064721690695,0.0,0.037474064721690695
11117,0.5060433876207149,0.5060433876207149,0.5060433876207149,0.5060433876207149,0.5060433876207149,0.0,0.5060433876207149
11167,,,,,,0.0,0.0
1290,,,,,,0.0,0.0
109,0.5066666666666667,0.5066666666666667,0.5066666666666667,0.5066666666666667,0.5066666666666667,0.0,0.5066666666666667
5327,,,,,,0.0,0.0
4921,0.8676396071280623,0.8676396071280623,0.8676396071280623,0.8676396071280623,0.8676396071280623,0.0,0.8676396071280623
7035,,,,,,0.0,0.0
7041,,,,,,0.0,0.0
1346,0.9,0.9,0.9,0.9,0.9,0.0,0.9
7805,0.8597257640364617,0.8597257640364617,0.8597257640364617,0.8597257640364617,0.0,0.8597257640364617,0.8597257640364617
5552,0.6956465413453106,0.6956465413453106,0.6956465413453106,0.6956465413453106,0.0,0.6956465413453106,0.6956465413453106
5996,0.880980164152612,0.880980164152612,0.880980164152612,0.880980164152612,0.0,0.880980164152612,0.880980164152612
2207,0.895074651733345,0.895074651733345,0.895074651733345,0.895074651733345,0.0,0.895074651733345,0.895074651733345
822,0.824061783848601,0.824061783848601,0.824061783848601,0.824061783848601,0.0,0.824061783848601,0.824061783848601
241,0.7428699813759462,0.7428699813759462,0.7428699813759462,0.7428699813759462,0.0,0.7428699813759462,0.7428699813759462
397,0.94,0.94,0.94,0.94,0.0,0.94,0.94
4069,0.8200652981348844,0.8200652981348844,0.8200652981348844,0.8200652981348844,0.0,0.8200652981348844,0.8200652981348844
864,0.9026141542514534,0.9026141542514534,0.9026141542514534,0.9026141542514534,0.0,0.9026141542514534,0.9026141542514534
6275,0.8914285714285715,0.8914285714285715,0.8914285714285715,0.8914285714285715,0.0,0.8914285714285715,0.8914285714285715
10457,0.9178044117763801,0.9178044117763801,0.9178044117763801,0.9178044117763801,0.0,0.9178044117763801,0.9178044117763801
5376,0.6086609214368442,0.6086609214368442,0.6086609214368442,0.6086609214368442,0.0,0.6086609214368442,0.6086609214368442
