marker_ID,EC,Fib,Kera_diff,Kera_undiff,Macro,Mela,Tcell,weight
915,0.8230553199390802,0.8230553199390802,0.8230553199390802,0.8230553199390802,0.8230553199390802,0.8230553199390802,0.0,0.8230553199390802
397,0.94,0.94,0.94,0.94,0.0,0.94,0.0,0.94
969,0.7106283288009225,0.7106283288009225,0.7106283288009225,0.7106283288009225,0.7106283288009225,0.7106283288009225,0.0,0.7106283288009225
5790,0.806619696796057,0.806619696796057,0.806619696796057,0.806619696796057,0.806619696796057,0.806619696796057,0.0,0.806619696796057
5788,0.9416881172564583,0.9416881172564583,0.9416881172564583,0.9416881172564583,0.9416881172564583,0.9416881172564583,0.0,0.9416881172564583
241,0.7428699813759462,0.7428699813759462,0.7428699813759462,0.7428699813759462,0.7428699813759462,0.7428699813759462,0.0,0.7428699813759462
7805,0.8597257640364617,0.8597257640364617,0.8597257640364617,0.8597257640364617,0.0,0.8597257640364617,0.0,0.8597257640364617
951,0.9021819420607722,0.9021819420607722,0.9021819420607722,0.9021819420607722,0.9021819420607722,0.9021819420607722,0.0,0.9021819420607722
9595,0.9589742090697976,0.9589742090697976,0.9589742090697976,0.9589742090697976,0.0,0.9589742090697976,0.0,0.9589742090697976
25797,,,,,,0.0,,0.0
427,,,,,,0.0,,0.0
10791,0.1823809523809524,0.1823809523809524,0.1823809523809524,0.1823809523809524,0.1823809523809524,0.0,0.1823809523809524,0.1823809523809524
2995,0.5969758988045732,0.5969758988045732,0.5969758988045732,0.5969758988045732,0.5969758988045732,0.0,0.5969758988045732,0.5969758988045732
23682,0.17548279505698577,0.17548279505698577,0.17548279505698577,0.17548279505698577,0.17548279505698577,0.0,0.17548279505698577,0.17548279505698577
8572,0.03200140972607659,0.03200140972607659,0.03200140972607659,0.03200140972607659,0.03200140972607659,0.0,0.03200140972607659,0.03200140972607659
1155,,,,,,0.0,,0.0
3115,0.0,0.37525694306935975,0.37525694306935975,0.37525694306935975,0.0,0.37525694306935975,0.37525694306935975,0.37525694306935975
3113,0.0,0.1968861997488558,0.1968861997488558,0.1968861997488558,0.0,0.0,0.1968861997488558,0.1968861997488558
