marker_ID,Chol,EC,Hep,Kup,Lym
MT1E,1.0613446466208434,0.0,3.736776072998867,0.0,0.0
SERPINC1,0.0,0.0,3.3150997108920652,0.0,0.0
RARRES2,0.8398851383542361,0.0,3.3408181838594913,0.0,0.0
GC,1.9741941568150516,0.0,3.2870560521110077,0.0,0.0
CYB5A,1.3881517844272508,0.0,3.5131574694251233,0.0,0.0
DCXR,0.2528076594424465,0.0,3.6196353849329297,0.0,0.0
MT1H,0.0,0.0,3.4424027758087075,0.0,0.0
CPS1,0.0,0.0,3.0060389347095535,0.0,0.0
HSD17B6,0.0,0.0,2.944285399928503,0.0,0.0
CES1,0.1624695435979124,0.0,3.158876389480444,0.0,0.0
AGT,1.7341830342767832,0.0,2.960026046200394,0.0,0.0
AGXT,0.0,0.0,3.0032453837816253,0.0,0.0
C9,0.0,0.0,2.9321991815047506,0.0,0.0
KNG1,0.0,0.0,2.819239496677195,0.0,0.0
PLG,0.0,0.0,2.831445999300991,0.0,0.0
SAA4,0.0,0.0,2.8028387929991028,0.0,0.0
CRP,0.0,0.0,2.785443595780483,0.0,0.0
CYP2C8,0.0,0.0,2.8435268660092334,0.0,0.0
SPINK1,0.0,0.0,2.4531699518133263,0.0,0.0
CYP2C9,0.0,0.0,2.6736264494004818,0.0,0.0
C1R,0.0,0.0,2.534232773730192,0.0,0.0
SULT2A1,0.0,0.0,2.572642183783797,0.0,0.0
CPB2,0.0,0.0,2.4574319272531353,0.0,0.0
PEBP1,1.3513771708860347,0.0,3.04164730592953,0.0,0.0
TAT-AS1,0.0,0.0,2.5960143558433293,0.0,0.0
LEAP2,0.0,0.0,2.5440015142198935,0.0,0.0
A1BG,0.0,0.0,2.603394955078556,0.0,0.0
CP,0.0,0.0,2.303417351348418,0.0,0.0
GATM,0.5573296847195596,0.0,2.571013852787337,0.0,0.0
CYP3A4,0.0,0.0,2.5545759623234123,0.0,0.0
HPD,0.0,0.0,2.4089443565132695,0.0,0.0
