marker_ID,Chol,EC,Hep,Kup,Lym,weight
6352,0.8442393684521723,0.8442393684521723,0.8442393684521723,0.8442393684521723,0.0,0.8442393684521723
3001,0.7000215804916755,0.7000215804916755,0.7000215804916755,0.7000215804916755,0.0,0.7000215804916755
924,0.6827140370065677,0.6827140370065677,0.6827140370065677,0.6827140370065677,0.0,0.6827140370065677
8530,0.8178585434910726,0.8178585434910726,0.8178585434910726,0.8178585434910726,0.0,0.8178585434910726
5880,0.2885714285714286,0.2885714285714286,0.2885714285714286,0.2885714285714286,0.0,0.2885714285714286
5788,0.9416881172564583,0.9416881172564583,0.9416881172564583,0.0,0.0,0.9416881172564583
6280,0.7032773227250455,0.7032773227250455,0.7032773227250455,0.0,0.7032773227250455,0.7032773227250455
3122,0.20331295829546508,0.20331295829546508,0.20331295829546508,0.0,0.20331295829546508,0.20331295829546508
199,0.6779539196068811,0.6779539196068811,0.6779539196068811,0.0,0.6779539196068811,0.6779539196068811
4069,0.8200652981348844,0.8200652981348844,0.8200652981348844,0.0,0.8200652981348844,0.8200652981348844
2207,0.895074651733345,0.895074651733345,0.895074651733345,0.0,0.895074651733345,0.895074651733345
3115,0.37525694306935975,0.37525694306935975,0.37525694306935975,0.0,0.37525694306935975,0.37525694306935975
3113,0.1968861997488558,0.1968861997488558,0.1968861997488558,0.0,0.1968861997488558,0.1968861997488558
128346,0.9527609333333333,0.9527609333333333,0.9527609333333333,0.0,0.9527609333333333,0.9527609333333333
3059,0.7864910425730678,0.7864910425730678,0.7864910425730678,0.0,0.7864910425730678,0.7864910425730678
1475,0.6765532202502351,0.6765532202502351,0.6765532202502351,0.0,0.6765532202502351,0.6765532202502351
427,,,,0.0,,0.0
29108,0.07280219780219781,0.07280219780219781,0.07280219780219781,0.0,0.07280219780219781,0.07280219780219781
23643,0.84,0.84,0.84,0.0,0.84,0.84
219972,0.8598555393280165,0.8598555393280165,0.8598555393280165,0.0,0.8598555393280165,0.8598555393280165
1675,0.5968421921321027,0.5968421921321027,0.5968421921321027,0.0,0.5968421921321027,0.5968421921321027
5199,0.8002001187563481,0.8002001187563481,0.8002001187563481,0.0,0.8002001187563481,0.8002001187563481
2014,,,,0.0,,0.0
259,0.0,0.6654870019624944,0.0,0.6654870019624944,0.6654870019624944,0.6654870019624944
718,0.0,0.5835689820236495,0.0,0.5835689820236495,0.5835689820236495,0.5835689820236495
4837,,,0.0,,,0.0
4496,0.2673844,0.2673844,0.0,0.2673844,0.2673844,0.2673844
6822,0.9172241290957399,0.9172241290957399,0.0,0.9172241290957399,0.9172241290957399,0.9172241290957399
1361,0.9751479551616564,0.9751479551616564,0.0,0.9751479551616564,0.9751479551616564,0.9751479551616564
197,0.921404690996092,0.921404690996092,0.0,0.921404690996092,0.921404690996092,0.921404690996092
3075,0.7173035734485255,0.7173035734485255,0.0,0.7173035734485255,0.7173035734485255,0.7173035734485255
57817,0.48024802789377696,0.48024802789377696,0.0,0.48024802789377696,0.48024802789377696,0.48024802789377696
344,0.8760833110860039,0.8760833110860039,0.0,0.8760833110860039,0.8760833110860039,0.8760833110860039
383,0.9594893848187008,0.9594893848187008,0.0,0.9594893848187008,0.9594893848187008,0.9594893848187008
3484,0.3087759120989546,0.3087759120989546,0.0,0.3087759120989546,0.3087759120989546,0.3087759120989546
55268,,,0.0,,,0.0
7363,0.9721596041459782,0.9721596041459782,0.0,0.9721596041459782,0.9721596041459782,0.9721596041459782
116844,0.400029528172835,0.400029528172835,0.0,0.400029528172835,0.400029528172835,0.400029528172835
5176,0.7419971136334578,0.7419971136334578,0.0,0.7419971136334578,0.7419971136334578,0.7419971136334578
13,0.9811812800417165,0.9811812800417165,0.0,0.9811812800417165,0.9811812800417165,0.9811812800417165
2938,0.6923652930541797,0.6923652930541797,0.0,0.6923652930541797,0.6923652930541797,0.6923652930541797
26471,0.7710404384812783,0.0,0.0,0.7710404384812783,0.7710404384812783,0.7710404384812783
727,,,0.0,,,0.0
2,0.9135720165548153,0.0,0.0,0.9135720165548153,0.9135720165548153,0.9135720165548153
5624,0.8839437347001768,0.8839437347001768,0.0,0.8839437347001768,0.8839437347001768,0.8839437347001768
3249,0.5213966803102945,0.5213966803102945,0.0,0.5213966803102945,0.5213966803102945,0.5213966803102945
7803,0.0,,0.0,,,0.0
6514,0.8865098982463588,0.8865098982463588,0.0,0.8865098982463588,0.8865098982463588,0.8865098982463588
4430,,,0.0,,,0.0
717,0.8971276973231088,0.8971276973231088,0.0,0.8971276973231088,0.8971276973231088,0.8971276973231088
23475,0.41,0.41,0.0,0.41,0.41,0.41
83758,0.9566853424390187,0.9566853424390187,0.0,0.9566853424390187,0.9566853424390187,0.9566853424390187
366,0.9640238335923117,0.9640238335923117,0.0,0.9640238335923117,0.9640238335923117,0.9640238335923117
4258,0.0,0.30666666666666664,0.0,0.30666666666666664,0.30666666666666664,0.30666666666666664
3429,0.5792166453647069,0.0,0.5792166453647069,0.5792166453647069,0.5792166453647069,0.5792166453647069
2022,0.742288624065208,0.0,0.742288624065208,0.742288624065208,0.742288624065208,0.742288624065208
10974,0.6705169692134806,0.0,0.6705169692134806,0.6705169692134806,0.6705169692134806,0.6705169692134806
7122,0.8970095005763045,0.0,0.8970095005763045,0.8970095005763045,0.8970095005763045,0.8970095005763045
23166,0.7022627065134779,0.0,0.7022627065134779,0.7022627065134779,0.7022627065134779,0.7022627065134779
11185,0.7620453602778802,0.0,0.7620453602778802,0.7620453602778802,0.7620453602778802,0.7620453602778802
1514,,0.0,,,,0.0
6678,,0.0,,,,0.0
161198,0.7816798560661681,0.0,0.7816798560661681,0.7816798560661681,0.7816798560661681,0.7816798560661681
64129,0.1632138375250183,0.0,0.1632138375250183,0.1632138375250183,0.1632138375250183,0.1632138375250183
1346,0.9,0.0,0.9,0.9,0.9,0.9
10791,0.1823809523809524,0.0,0.1823809523809524,0.1823809523809524,0.1823809523809524,0.1823809523809524
140576,0.7083333333333333,0.0,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333
684,0.47955696369916034,0.0,0.47955696369916034,0.47955696369916034,0.47955696369916034,0.47955696369916034
389,,0.0,,,,0.0
2995,0.5969758988045732,0.0,0.5969758988045732,0.5969758988045732,0.5969758988045732,0.5969758988045732
168537,0.7504331019515231,0.0,0.7504331019515231,0.7504331019515231,0.7504331019515231,0.7504331019515231
8837,0.7805555555555556,0.0,0.7805555555555556,0.7805555555555556,0.7805555555555556,0.7805555555555556
6696,0.0,0.863868070384044,0.863868070384044,0.863868070384044,0.863868070384044,0.863868070384044
3856,0.0,0.6143809138531653,0.6143809138531653,0.6143809138531653,0.6143809138531653,0.6143809138531653
3960,0.0,0.8827844869206665,0.8827844869206665,0.8827844869206665,0.8827844869206665,0.8827844869206665
3934,0.0,0.8278273797763644,0.8278273797763644,0.8278273797763644,0.8278273797763644,0.8278273797763644
4070,0.0,0.29266189749056304,0.29266189749056304,0.29266189749056304,0.29266189749056304,0.29266189749056304
358,0.0,0.557120275326885,0.557120275326885,0.557120275326885,0.557120275326885,0.557120275326885
9071,0.0,0.8867467325192546,0.8867467325192546,0.8867467325192546,0.8867467325192546,0.8867467325192546
10653,0.0,0.0887254695,0.0887254695,0.0887254695,0.0887254695,0.0887254695
10158,0.0,0.5845744513343986,0.5845744513343986,0.5845744513343986,0.5845744513343986,0.5845744513343986
5104,0.0,0.3517922553527776,0.3517922553527776,0.3517922553527776,0.3517922553527776,0.3517922553527776
57402,0.0,0.8300055012965534,0.8300055012965534,0.8300055012965534,0.8300055012965534,0.8300055012965534
6856,0.0,,,,,0.0
4818,0.59125,0.59125,0.59125,0.59125,0.0,0.59125
10870,0.745,0.745,0.745,0.0,0.0,0.745
9235,0.0,0.8633333333333333,0.8633333333333333,0.8633333333333333,0.0,0.8633333333333333
3669,0.88,0.88,0.88,0.88,0.0,0.88
962,0.7775000000000001,0.7775000000000001,0.7775000000000001,0.7775000000000001,0.0,0.7775000000000001
7305,0.81,0.81,0.81,0.0,0.81,0.81
712,0.85,0.85,0.85,0.0,0.85,0.85
1520,0.76,0.76,0.76,0.0,0.76,0.76
714,0.8866666666666667,0.8866666666666667,0.8866666666666667,0.0,0.8866666666666667,0.8866666666666667
58475,0.41,0.41,0.41,0.0,0.41,0.41
968,0.44,0.44,0.44,0.0,0.44,0.44
10875,0.27749999999999997,0.27749999999999997,0.27749999999999997,0.0,0.27749999999999997,0.27749999999999997
116362,0.060714285714285714,0.060714285714285714,0.060714285714285714,0.0,0.060714285714285714,0.060714285714285714
6688,0.6975,0.6975,0.6975,0.0,0.6975,0.6975
2124,0.86,0.86,0.86,0.0,0.86,0.86
9056,0.36625,0.36625,0.36625,0.0,0.36625,0.36625
3936,0.91,0.91,0.91,0.0,0.91,0.91
1890,0.06838709677419355,0.06838709677419355,0.06838709677419355,0.0,0.06838709677419355,0.06838709677419355
81671,,,,0.0,,0.0
2243,0.0,0.8,0.0,0.8,0.8,0.8
7276,0.0,0.91,0.0,0.91,0.91,0.91
5005,0.0,0.428,0.0,0.428,0.428,0.428
350,0.81,0.81,0.0,0.81,0.81,0.81
3263,0.825,0.825,0.0,0.825,0.825,0.825
7448,0.0,0.1825,0.0,0.1825,0.1825,0.1825
2168,0.925,0.925,0.0,0.925,0.925,0.925
563,0.0,0.7949999999999999,0.0,0.7949999999999999,0.7949999999999999,0.7949999999999999
325,0.0,0.905,0.0,0.905,0.905,0.905
125,0.675,0.675,0.0,0.675,0.675,0.675
2638,0.0,0.79,0.0,0.79,0.79,0.79
1066,0.0,0.48,0.0,0.48,0.48,0.48
735,0.94,0.94,0.0,0.94,0.94,0.94
5340,0.9275,0.9275,0.0,0.9275,0.9275,0.9275
715,0.0325,0.0325,0.0,0.0325,0.0325,0.0325
116842,0.865,0.865,0.0,0.865,0.865,0.865
2628,0.0,0.3522222222222222,0.0,0.3522222222222222,0.3522222222222222,0.3522222222222222
22809,,,0.0,,,0.0
3697,0.9,0.9,0.0,0.9,0.9,0.9
3158,0.6525,0.6525,0.0,0.6525,0.6525,0.6525
5345,0.825,0.825,0.0,0.825,0.825,0.825
733,0.597,0.597,0.0,0.597,0.597,0.597
5105,0.75,0.75,0.0,0.75,0.75,0.75
28959,0.4,0.4,0.0,0.4,0.4,0.4
722,0.885,0.885,0.0,0.885,0.885,0.885
6580,0.894,0.894,0.0,0.894,0.894,0.894
2147,0.8633333333333333,0.8633333333333333,0.0,0.8633333333333333,0.8633333333333333,0.8633333333333333
3699,0.8133928571428571,0.8133928571428571,0.0,0.8133928571428571,0.8133928571428571,0.8133928571428571
55365,0.05,0.05,0.0,0.05,0.05,0.05
433,0.0,0.732,0.0,0.732,0.732,0.732
127,0.48,0.48,0.0,0.48,0.48,0.48
6342,0.0,,0.0,,,0.0
217,0.0,0.2563636363636364,0.0,0.2563636363636364,0.2563636363636364,0.2563636363636364
10840,0.42428571428571427,0.42428571428571427,0.0,0.42428571428571427,0.42428571428571427,0.42428571428571427
10747,0.8966666666666667,0.8966666666666667,0.0,0.8966666666666667,0.8966666666666667,0.8966666666666667
2877,0.7866666666666666,0.7866666666666666,0.0,0.7866666666666666,0.7866666666666666,0.7866666666666666
800,0.0,0.9,0.0,0.9,0.9,0.9
27329,0.915,0.915,0.0,0.915,0.915,0.915
725,0.75,0.75,0.0,0.75,0.75,0.75
5267,0.0,0.865,0.0,0.865,0.865,0.865
4718,0.0,,0.0,,,0.0
8991,0.875,0.875,0.0,0.875,0.875,0.875
36,0.11611111111111111,0.11611111111111111,0.0,0.11611111111111111,0.11611111111111111,0.11611111111111111
25987,0.91,0.91,0.0,0.91,0.91,0.91
5092,0.0,,0.0,,,0.0
10998,0.695,0.695,0.0,0.695,0.695,0.695
143941,0.575,0.575,0.0,0.575,0.575,0.575
3929,0.8999999999999999,0.8999999999999999,0.0,0.8999999999999999,0.8999999999999999,0.8999999999999999
5446,0.049433497536945814,0.049433497536945814,0.0,0.049433497536945814,0.049433497536945814,0.049433497536945814
1593,0.041249999999999995,0.041249999999999995,0.0,0.041249999999999995,0.041249999999999995,0.041249999999999995
1577,0.0,0.8766666666666667,0.0,0.8766666666666667,0.8766666666666667,0.8766666666666667
7263,0.0,0.1375,0.0,0.1375,0.1375,0.1375
847,0.8016666666666666,0.8016666666666666,0.0,0.8016666666666666,0.8016666666666666,0.8016666666666666
1891,0.0,,0.0,,,0.0
2705,0.585,0.585,0.0,0.585,0.585,0.585
1962,0.052142857142857144,0.052142857142857144,0.0,0.052142857142857144,0.052142857142857144,0.052142857142857144
28958,0.0,,0.0,,,0.0
50808,,,0.0,,,0.0
26521,0.0,,0.0,,,0.0
4695,0.0,,0.0,,,0.0
1522,0.4261904761904762,0.4261904761904762,0.0,0.0,0.4261904761904762,0.4261904761904762
9936,0.12352941176470589,0.12352941176470589,0.0,0.0,0.12352941176470589,0.12352941176470589
4731,,,0.0,,,0.0
3939,0.0,,0.0,,,0.0
2040,,0.0,0.0,,,0.0
27069,0.0,,0.0,,,0.0
2647,,,0.0,0.0,,0.0
1776,0.715,0.0,0.715,0.715,0.715,0.715
3399,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857
10268,0.024,0.0,0.024,0.024,0.024,0.024
6035,0.875,0.0,0.875,0.875,0.875,0.875
730,0.47,0.0,0.47,0.47,0.47,0.47
90865,0.885,0.0,0.885,0.885,0.885,0.885
2878,0.088,0.0,0.088,0.088,0.088,0.088
8406,0.5221428571428571,0.0,0.5221428571428571,0.5221428571428571,0.5221428571428571,0.5221428571428571
54,0.522,0.0,0.522,0.522,0.522,0.522
2157,0.05411764705882353,0.0,0.05411764705882353,0.05411764705882353,0.05411764705882353,0.05411764705882353
10203,0.1,0.0,0.1,0.1,0.1,0.1
1397,0.8858333333333334,0.0,0.8858333333333334,0.8858333333333334,0.8858333333333334,0.8858333333333334
11007,,0.0,,,,0.0
8692,0.878,0.0,0.878,0.878,0.878,0.878
9351,0.060909090909090906,0.0,0.060909090909090906,0.060909090909090906,0.060909090909090906,0.060909090909090906
5269,,0.0,,,,0.0
55303,0.91,0.0,0.91,0.91,0.91,0.91
1672,0.0,0.785,0.785,0.785,0.785,0.785
486,0.0,0.7,0.7,0.7,0.7,0.7
7104,0.0,0.85,0.0,0.85,0.85,0.85
3875,0.0,0.31625,0.0,0.31625,0.31625,0.31625
6590,0.0,0.79,0.79,0.79,0.79,0.79
1999,0.0,0.8700000000000001,0.8700000000000001,0.8700000000000001,0.8700000000000001,0.8700000000000001
5284,0.0,0.845,0.845,0.845,0.845,0.845
3880,0.0,0.20214285714285715,0.20214285714285715,0.20214285714285715,0.20214285714285715,0.20214285714285715
4072,0.0,0.06428571428571428,0.06428571428571428,0.06428571428571428,0.06428571428571428,0.06428571428571428
6638,0.0,,,,,0.0
