marker_ID,Endo,Epi,Gran,Lym,Macro,Mono,Stromal,weight
4239,0.4159903157253002,0.4159903157253002,0.4159903157253002,0.4159903157253002,0.4159903157253002,0.4159903157253002,0.0,0.4159903157253002
4256,0.0,0.7755827599189722,0.7755827599189722,0.7755827599189722,0.7755827599189722,0.7755827599189722,0.0,0.7755827599189722
1292,0.14089492297460177,0.14089492297460177,0.14089492297460177,0.14089492297460177,0.14089492297460177,0.14089492297460177,0.0,0.14089492297460177
2,0.0,0.9135720165548153,0.9135720165548153,0.9135720165548153,0.9135720165548153,0.9135720165548153,0.0,0.9135720165548153
5376,0.6086609214368442,0.6086609214368442,0.6086609214368442,0.6086609214368442,0.6086609214368442,0.6086609214368442,0.0,0.6086609214368442
6678,0.0,,,,,,0.0,0.0
219348,0.25101371346469753,0.25101371346469753,0.25101371346469753,0.25101371346469753,0.25101371346469753,0.25101371346469753,0.0,0.25101371346469753
6943,0.41561229843172104,0.41561229843172104,0.41561229843172104,0.41561229843172104,0.41561229843172104,0.41561229843172104,0.0,0.41561229843172104
5118,0.8916061148881612,0.8916061148881612,0.8916061148881612,0.8916061148881612,0.8916061148881612,0.8916061148881612,0.0,0.8916061148881612
1277,,,,,,,0.0,0.0
1281,0.6525388179447409,0.6525388179447409,0.6525388179447409,0.6525388179447409,0.6525388179447409,0.6525388179447409,0.0,0.6525388179447409
54587,0.1670523252623975,0.1670523252623975,0.1670523252623975,0.1670523252623975,0.1670523252623975,0.1670523252623975,0.0,0.1670523252623975
7041,,,,,,,0.0,0.0
4692,,,,,,,0.0,0.0
23564,0.035378180641,0.035378180641,0.0,0.035378180641,0.0,0.035378180641,0.0,0.035378180641
6856,,0.0,,,0.0,,0.0,0.0
4069,0.8200652981348844,0.8200652981348844,0.8200652981348844,0.8200652981348844,0.0,0.0,0.8200652981348844,0.8200652981348844
199,0.6779539196068811,0.6779539196068811,0.6779539196068811,0.6779539196068811,0.0,0.0,0.6779539196068811,0.6779539196068811
6280,0.7032773227250455,0.7032773227250455,0.7032773227250455,0.7032773227250455,0.0,0.0,0.7032773227250455,0.7032773227250455
5199,0.8002001187563481,0.8002001187563481,0.8002001187563481,0.8002001187563481,0.8002001187563481,0.0,0.8002001187563481,0.8002001187563481
10673,0.25009157901987616,0.25009157901987616,0.25009157901987616,0.25009157901987616,0.0,0.0,0.25009157901987616,0.25009157901987616
219972,0.8598555393280165,0.8598555393280165,0.8598555393280165,0.8598555393280165,0.8598555393280165,0.0,0.8598555393280165,0.8598555393280165
10288,0.8326051701018101,0.8326051701018101,0.8326051701018101,0.8326051701018101,0.8326051701018101,0.0,0.8326051701018101,0.8326051701018101
11010,0.30374081576387496,0.30374081576387496,0.30374081576387496,0.30374081576387496,0.0,0.0,0.30374081576387496,0.30374081576387496
3059,0.7864910425730678,0.7864910425730678,0.7864910425730678,0.7864910425730678,0.0,0.0,0.7864910425730678,0.7864910425730678
920,0.6262593520586978,0.6262593520586978,0.6262593520586978,0.6262593520586978,0.0,0.0,0.6262593520586978,0.6262593520586978
4245,,,,,0.0,0.0,,0.0
3148,,,,,0.0,0.0,,0.0
7534,,0.0,0.0,,0.0,0.0,,0.0
199675,0.6471134519337605,0.6471134519337605,0.6471134519337605,0.6471134519337605,0.0,0.6471134519337605,0.6471134519337605,0.6471134519337605
10457,0.9178044117763801,0.9178044117763801,0.9178044117763801,0.9178044117763801,0.0,0.9178044117763801,0.9178044117763801,0.9178044117763801
51338,0.948038663326774,0.948038663326774,0.948038663326774,0.948038663326774,0.0,0.948038663326774,0.948038663326774,0.948038663326774
1514,,,,,0.0,,,0.0
3176,0.7436474486118714,0.7436474486118714,0.7436474486118714,0.7436474486118714,0.0,0.7436474486118714,0.7436474486118714,0.7436474486118714
8638,0.18683635707687757,0.18683635707687757,0.18683635707687757,0.18683635707687757,0.0,0.18683635707687757,0.18683635707687757,0.18683635707687757
7378,,,,,0.0,,,0.0
717,0.8971276973231088,0.8971276973231088,0.8971276973231088,0.8971276973231088,0.0,0.8971276973231088,0.8971276973231088,0.8971276973231088
282991,0.14978481774219013,0.14978481774219013,0.14978481774219013,0.14978481774219013,0.0,0.14978481774219013,0.14978481774219013,0.14978481774219013
4689,0.6495545581090328,0.6495545581090328,0.6495545581090328,0.6495545581090328,0.0,0.6495545581090328,0.6495545581090328,0.6495545581090328
51393,0.4679274798480938,0.4679274798480938,0.4679274798480938,0.4679274798480938,0.0,0.4679274798480938,0.4679274798480938,0.4679274798480938
83706,0.8554746349496148,0.8554746349496148,0.8554746349496148,0.8554746349496148,0.0,0.8554746349496148,0.8554746349496148,0.8554746349496148
