marker_ID,EC,Epi,Fib,IC
CELF2,0.0,0.0,0.0,1.6094379425048828
ARHGAP15,0.0,0.0,0.0,1.0986123085021973
AOAH,0.0,0.0,0.0,0.6931471824645996
CHST11,0.0,0.0,0.0,1.0986123085021973
SMAP2,0.0,0.0,0.0,1.0986123085021973
ANKRD44,0.0,0.0,0.0,1.0986123085021973
SSH2,0.0,0.0,0.0,1.3862943649291992
TBXAS1,0.0,0.0,0.0,0.6931471824645996
IKZF1,0.0,0.0,0.0,0.6931471824645996
FOXN3,0.6931471824645996,0.0,0.0,1.3862943649291992
PTPRC,0.0,0.0,0.0,0.6931471824645996
ZEB2,0.0,0.0,0.0,0.6931471824645996
DOCK2,0.0,0.0,0.0,0.6931471824645996
SRGN,0.0,0.0,0.0,0.6931471824645996
CAMK1D,0.0,0.0,0.0,0.6931471824645996
DOCK8,0.0,0.0,0.0,0.6931471824645996
SAT1,0.0,0.0,0.0,1.0986123085021973
SIPA1L1,0.0,0.0,0.0,1.0986123085021973
RAPGEF1,0.0,0.0,0.0,1.0986123085021973
CCND3,0.0,0.0,0.0,0.6931471824645996
PREX1,0.0,0.0,0.0,0.6931471824645996
INPP5D,0.0,0.0,0.0,0.6931471824645996
TBC1D22A,0.3465735912322998,0.0,0.0,1.0986123085021973
IQGAP2,0.0,0.0,0.0,0.6931471824645996
INPP4A,0.0,0.0,0.0,0.6931471824645996
RNF213,0.0,0.0,0.0,0.6931471824645996
ATM,0.0,0.0,0.0,0.6931471824645996
FNBP1,0.0,0.0,0.0,0.6931471824645996
FAM49B,0.0,0.0,0.0,0.6931471824645996
VMP1,0.0,0.0,0.0,0.6931471824645996
ITSN2,0.0,0.0,0.0,0.6931471824645996
CALD1,0.0,0.0,1.7917594909667969,0.0
ZFPM2,0.0,0.0,1.3862943649291992,0.0
USP53,0.0,0.0,1.6094379425048828,0.0
EBF1,0.6931471824645996,0.0,1.0986123085021973,0.0
FOS,0.0,0.0,1.0986123085021973,0.0
PIK3R1,0.0,0.0,1.3862943649291992,0.0
NR4A1,0.0,0.0,1.0986123085021973,0.0
AFF3,0.0,0.0,1.0986123085021973,0.0
MIR99AHG,0.6931471824645996,0.0,1.6094379425048828,0.0
NFIA,1.0986123085021973,0.0,1.3862943649291992,0.0
PDZRN4,0.0,0.0,0.6931471824645996,0.0
NEGR1,0.0,0.0,0.6931471824645996,0.0
SORBS1,0.0,0.0,0.6931471824645996,0.0
PDLIM5,0.6931471824645996,0.0,1.0986123085021973,0.0
SYNPO2,0.0,0.0,0.6931471824645996,0.0
DMD,0.0,0.0,0.6931471824645996,0.0
ESR1,0.0,0.0,0.6931471824645996,0.0
SOX5,0.0,0.0,1.0986123085021973,0.0
COL12A1,0.0,0.0,0.6931471824645996,0.0
UBC,0.0,0.0,0.6931471824645996,0.0
CACNA1C,0.0,0.0,0.6931471824645996,0.0
MEIS1,0.0,0.0,0.6931471824645996,0.0
MAP3K5,0.0,0.0,1.0986123085021973,0.0
BNC2,0.0,0.0,1.0986123085021973,0.0
TPM1,0.0,0.0,0.6931471824645996,0.0
SAMD4A,0.0,0.0,1.0986123085021973,0.0
ITGA1,0.0,0.0,0.6931471824645996,0.0
FGF14,0.0,0.0,0.6931471824645996,0.0
NOX4,0.0,0.0,1.0986123085021973,0.0
SLIT3,0.0,0.0,0.6931471824645996,0.0
EHBP1,0.0,0.0,1.0986123085021973,0.0
PALLD,0.0,0.0,0.6931471824645996,0.0
PPP1R12B,0.0,0.0,0.6931471824645996,0.0
ADAMTSL3,0.0,0.0,0.6931471824645996,0.0
AUTS2,0.0,0.0,1.0986123085021973,0.0
ZFAND5,0.0,0.0,0.6931471824645996,0.0
NR2F1-AS1,0.0,0.0,0.6931471824645996,0.0
NR2F2-AS1,0.0,0.6931471824645996,1.3862943649291992,0.0
LIMA1,0.0,0.0,0.6931471824645996,0.0
ARHGAP10,0.0,0.0,0.6931471824645996,0.0
ZFP36,0.0,0.0,0.6931471824645996,0.0
DST,0.0,0.0,1.0986123085021973,0.0
RERG,0.0,0.0,0.6931471824645996,0.0
VCL,0.0,0.0,0.6931471824645996,0.0
FOXO3,0.0,0.0,0.6931471824645996,0.0
PLSCR4,0.0,0.0,0.6931471824645996,0.0
DUSP1,0.3465735912322998,0.0,0.6931471824645996,0.0
ESYT2,0.0,0.0,0.6931471824645996,0.0
SSBP2,0.0,0.0,0.6931471824645996,0.0
XIST,0.0,0.0,1.0986123085021973,0.0
ROCK1,0.0,0.0,0.6931471824645996,0.0
MYH10,0.0,0.0,0.6931471824645996,0.0
THSD4,0.0,0.0,0.6931471824645996,0.0
CBLB,0.0,0.0,0.6931471824645996,0.0
CRIM1,0.0,0.0,0.6931471824645996,0.0
RTN4,0.0,0.0,0.6931471824645996,0.0
FER,0.0,0.0,0.6931471824645996,0.0
ROCK2,0.0,0.0,0.6931471824645996,0.0
REV3L,0.0,0.0,0.6931471824645996,0.0
FTO,0.0,0.0,0.6931471824645996,0.0
PPP1R12A,0.0,0.0,0.6931471824645996,0.0
SRSF11,0.0,0.0,0.6931471824645996,0.0
NBEAL1,0.0,0.0,0.6931471824645996,0.0
MYCBP2,0.0,0.0,0.6931471824645996,0.6931471824645996
SCMH1,0.0,0.0,0.6931471824645996,0.0
DYM,0.0,0.0,0.6931471824645996,0.0
ATP1B1,0.0,1.0986123085021973,0.0,0.6931471824645996
